Source title,CiteScore,Highest percentile,2018-21 Citations,2018-21 Documents,% Cited,SNIP,SJR,Publisher
Children and Youth Services Review,3.3,"82.0%
235/1345
Sociology and Political Science",7913,2382,68,1.229,0.803,Elsevier
Computational Brain and Behavior,3.3,"64.0%
122/341
Developmental and Educational Psychology",366,110,74,0.9,1.279,Springer Nature
Criminal Justice and Behavior,3.3,"91.0%
71/801
Law",1185,362,73,1.519,1.069,SAGE
Current Treatment Options in Psychiatry,3.3,"65.0%
102/292
Clinical Psychology",375,115,64,0.803,0.767,Springer Nature
Early Education and Development,3.3,"77.0%
310/1406
Education",834,250,81,1.337,0.819,Taylor & Francis
Infant Behavior and Development,3.3,"63.0%
125/341
Developmental and Educational Psychology",1179,355,68,1.162,0.797,Elsevier
International Journal of Offender Therapy and Comparative Criminology,3.3,"75.0%
91/376
Arts and Humanities (miscellaneous)",1796,551,76,1.12,0.634,SAGE
Journal of Cognition and Development,3.3,"64.0%
123/341
Developmental and Educational Psychology",492,148,70,1.511,1.002,Taylor & Francis
Journal of Developmental and Behavioral Pediatrics,3.3,"66.0%
100/298
Pediatrics, Perinatology and Child Health",1246,381,65,1.251,0.783,Wolters Kluwer Health
Journal of Language and Social Psychology,3.3,"93.0%
68/968
Language and Linguistics",481,144,79,1.176,0.591,SAGE
Journal of Motor Learning and Development,3.3,"63.0%
103/284
Orthopedics and Sports Medicine",451,137,68,0.737,0.539,Human Kinetics Publishers Inc.
Journal of Psychopathology and Behavioral Assessment,3.3,"65.0%
101/292
Clinical Psychology",885,265,62,1.154,0.906,Springer Nature
"Attention, Perception, and Psychophysics",3.2,"92.0%
75/968
Language and Linguistics",2854,883,73,0.976,0.831,Springer Nature
Australian Journal of Learning Difficulties,3.2,"75.0%
338/1406
Education",120,38,50,1.366,0.737,Taylor & Francis
Behaviormetrika,3.2,"82.0%
32/176
Analysis",266,83,88,0.825,0.609,Behaviormetric Society of Japan
BMC psychology,3.2,"61.0%
82/209
General Psychology",1534,482,60,1.523,0.871,Springer Nature
Brain Injury,3.2,"62.0%
129/341
Developmental and Educational Psychology",2557,791,66,0.914,0.621,Taylor & Francis
Canadian Journal of Behavioural Science,3.2,"61.0%
81/209
General Psychology",414,130,54,1.523,0.869,APA
Consulting Psychology Journal,3.2,"76.0%
15/61
Psychology (miscellaneous)",240,75,67,0.758,0.344,APA
Dyslexia,3.2,"77.0%
323/1406
Education",326,101,65,1.382,0.74,Wiley-Blackwell
Human Performance,3.2,"62.0%
80/213
Organizational Behavior and Human Resource Management",194,61,77,1.205,0.884,Taylor & Francis
Infancy,3.2,"64.0%
107/298
Pediatrics, Perinatology and Child Health",638,202,76,1.091,0.843,Wiley-Blackwell
International Journal of Aging and Human Development,3.2,"61.0%
132/341
Developmental and Educational Psychology",607,189,75,1.079,0.601,SAGE
International Journal of Developmental Sciences,3.2,"65.0%
20/56
Life-span and Life-course Studies",145,45,82,0.649,0.349,IOS Press
International Journal of Early Childhood,3.2,"76.0%
326/1406
Education",276,86,76,1.899,0.789,Springer Nature
Journal of Clinical Psychology in Medical Settings,3.2,"64.0%
105/292
Clinical Psychology",814,256,72,1.209,0.58,Springer Nature
Journal of Empirical Research on Human Research Ethics,3.2,"81.0%
85/467
Communication",554,172,74,0.977,0.46,SAGE
Journal of Neurolinguistics,3.2,"91.0%
85/1032
Linguistics and Language",701,216,72,1.012,0.655,Elsevier
Language and Communication,3.2,"92.0%
74/968
Language and Linguistics",720,222,64,2.007,0.91,Elsevier
Laterality,3.2,"75.0%
94/376
Arts and Humanities (miscellaneous)",484,151,79,0.779,0.407,Taylor & Francis
Neuroscience of Consciousness,3.2,"64.0%
104/292
Clinical Psychology",236,74,66,0.898,0.771,Oxford University Press
Psychological Inquiry,3.2,"61.0%
80/209
General Psychology",236,74,51,1.156,1.244,Taylor & Francis
Psychological Reports,3.2,"62.0%
78/209
General Psychology",1415,438,76,1.021,0.55,SAGE
Symbolic Interaction,3.2,"82.0%
22/123
General Nursing",337,106,79,1.227,0.697,Wiley-Blackwell
American Journal of Evaluation,3.1,"80.0%
260/1345
Sociology and Political Science",408,133,71,1.632,0.833,SAGE
Applied Cognitive Psychology,3.1,"73.0%
99/376
Arts and Humanities (miscellaneous)",1441,465,65,1.134,0.651,Wiley-Blackwell
Behavioral Sciences and the Law,3.1,"90.0%
80/801
Law",561,181,62,1.229,0.686,Wiley-Blackwell
Clinical Child Psychology and Psychiatry,3.1,"63.0%
108/298
Pediatrics, Perinatology and Child Health",867,276,64,1.241,0.685,SAGE
Developmental Neuropsychology,3.1,"59.0%
138/341
Developmental and Educational Psychology",484,158,61,1.082,0.536,Taylor & Francis
i-Perception,3.1,"67.0%
41/124
Ophthalmology",914,295,92,0.685,0.451,SAGE
Journal of Child Language,3.1,"91.0%
84/968
Language and Linguistics",692,224,75,1.246,0.766,Cambridge University Press
"Journal of comparative psychology (Washington, D.C. : 1983)",3.1,"74.0%
16/61
Psychology (miscellaneous)",525,172,70,0.736,0.618,APA
Journal of Family and Economic Issues,3.1,"68.0%
219/696
Economics and Econometrics",647,206,70,1.583,0.553,Springer Nature
Journal of Individual Differences,3.1,"59.0%
85/209
General Psychology",309,99,73,1.038,0.704,Hogrefe Publishing
Journal of Marital and Family Therapy,3.1,"81.0%
81/426
Social Sciences (miscellaneous)",642,207,68,1.851,0.649,Wiley-Blackwell
Research and Practice for Persons with Severe Disabilities,3.1,"60.0%
116/296
Social Psychology",243,78,63,1.759,1.197,SAGE
The International Journal for the Psychology of Religion,3.1,"98.0%
7/547
Religious Studies",223,71,73,1.11,0.558,Taylor & Francis
Adaptive Human Behavior and Physiology,3,"48.0%
78/150
Experimental and Cognitive Psychology",283,93,77,0.606,0.461,Springer Nature
Brain Impairment,3,"66.0%
21/61
Speech and Hearing",151,50,66,0.709,0.323,Cambridge University Press
Cognitive Behaviour Therapist,3,"62.0%
109/292
Clinical Psychology",222,73,48,0.914,0.76,Cambridge University Press
Comprehensive Results in Social Psychology,3,"59.0%
120/296
Social Psychology",73,24,46,1.991,0.941,Taylor & Francis
Current Developmental Disorders Reports,3,"59.0%
139/341
Developmental and Educational Psychology",342,113,65,0.859,0.527,Springer Nature
Ecopsychology,3,"58.0%
123/296
Social Psychology",371,123,67,0.851,0.462,Mary Ann Liebert
Evolutionary Human Sciences,3,"95.0%
49/1127
Cultural Studies",193,65,80,1.214,1.039,Cambridge University Press
Japanese Psychological Research,3,"58.0%
88/209
General Psychology",324,109,77,0.751,0.403,Wiley-Blackwell
Journal of Applied Social Psychology,3,"59.0%
119/296
Social Psychology",828,272,65,1.2,0.741,Wiley-Blackwell
Journal of Clinical Sport Psychology,3,"55.0%
104/230
Applied Psychology",359,119,76,0.8,0.503,Human Kinetics Publishers Inc.
Journal of Communication Disorders,3,"90.0%
97/1032
Linguistics and Language",674,222,68,1.35,0.634,Elsevier
Journal of Contemporary Psychotherapy,3,"62.0%
109/292
Clinical Psychology",374,123,65,1.177,0.705,Springer Nature
Journal of Family Violence,3,"89.0%
88/801
Law",857,290,77,1.794,0.94,Springer Nature
Journal of Humanistic Psychology,3,"95.0%
33/718
Philosophy",591,195,65,0.884,0.436,SAGE
Journal of Obsessive-Compulsive and Related Disorders,3,"61.0%
112/292
Clinical Psychology",780,261,69,0.81,0.667,Elsevier
Journal of Psychosocial Oncology,3,"54.0%
106/230
Applied Psychology",656,219,69,0.952,0.623,Taylor & Francis
Journal of Social and Clinical Psychology,3,"62.0%
111/292
Clinical Psychology",410,135,64,1.055,0.732,Guilford Press
Journal of Sport and Exercise Psychology,3,"74.0%
211/826
General Medicine",471,158,57,1.09,0.589,Human Kinetics Publishers Inc.
Music and Science,3,"97.0%
5/153
Music",367,123,59,1.469,N/A,SAGE
"Psychology, Crime and Law",3,"89.0%
85/801
Law",637,215,75,1.218,0.541,Taylor & Francis
Sexual and Relationship Therapy,3,"61.0%
113/292
Clinical Psychology",325,109,75,0.745,0.45,Taylor & Francis
Theory and Psychology,3,"91.0%
17/191
History and Philosophy of Science",636,209,69,1.339,0.618,SAGE
Visual Cognition,3,"72.0%
104/376
Arts and Humanities (miscellaneous)",661,221,72,0.693,0.835,Taylor & Francis
Acta Psychologica,2.9,"71.0%
107/376
Arts and Humanities (miscellaneous)",1996,680,68,0.952,0.736,Elsevier
Australian Psychologist,2.9,"71.0%
106/376
Arts and Humanities (miscellaneous)",585,199,66,0.977,0.54,Taylor & Francis
Deviant Behavior,2.9,"88.0%
90/801
Law",1277,436,71,1.072,0.593,Taylor & Francis
Early Childhood Education Journal,2.9,"72.0%
388/1406
Education",851,296,70,1.696,0.637,Springer Nature
Education Sciences,2.9,"71.0%
395/1406
Education",4823,1686,59,1.314,0.518,Multidisciplinary Digital Publishing Institute (MDPI)
ELT Journal,2.9,"90.0%
92/968
Language and Linguistics",479,163,64,1.92,1.304,Oxford University Press
"Emotion, Space and Society",2.9,"57.0%
127/296
Social Psychology",647,227,63,1.409,0.798,Elsevier
Family Relations,2.9,"79.0%
88/426
Social Sciences (miscellaneous)",770,265,62,1.359,0.747,Wiley-Blackwell
International Journal of Game-Based Learning,2.9,"72.0%
394/1406
Education",192,67,63,1.089,0.508,IGI Global Publishing
International Journal of School and Educational Psychology,2.9,"72.0%
381/1406
Education",405,140,75,0.791,0.423,Taylor & Francis
"Journal of Aggression, Maltreatment and Trauma",2.9,"80.0%
7/34
Health Professions (miscellaneous)",816,286,77,1.134,0.585,Taylor & Francis
Journal of Early Intervention,2.9,"60.0%
117/298
Pediatrics, Perinatology and Child Health",240,84,77,1.488,0.693,SAGE
Journal of Psychoeducational Assessment,2.9,"73.0%
377/1406
Education",846,291,68,1.022,0.6,SAGE
Journal of Social and Political Psychology,2.9,"79.0%
275/1345
Sociology and Political Science",397,136,79,1.069,0.706,PsychOpen
Journal of Sport Psychology in Action,2.9,"52.0%
109/230
Applied Psychology",252,87,75,1.365,0.521,Taylor & Francis
Mathematical Thinking and Learning,2.9,"86.0%
54/391
General Mathematics",174,60,77,1.481,0.799,Taylor & Francis
Metaphor and Symbol,2.9,"89.0%
105/1032
Linguistics and Language",209,73,49,1.74,0.599,Taylor & Francis
Psychology of Learning and Motivation - Advances in Research and Theory,2.9,"57.0%
126/296
Social Psychology",203,71,69,1.2,0.647,Elsevier
The Clinical Supervisor,2.9,"72.0%
384/1406
Education",199,69,78,0.782,0.462,Taylor & Francis
Training and Education in Professional Psychology,2.9,"72.0%
383/1406
Education",375,130,80,1.237,0.539,APA
American Journal of Health Behavior,2.8,"64.0%
115/323
Health (social science)",923,328,64,0.694,0.54,P N G Publications
Applied Neuropsychology: Child,2.8,"54.0%
154/341
Developmental and Educational Psychology",419,150,71,0.761,0.325,Taylor & Francis
Applied Psycholinguistics,2.8,"89.0%
98/968
Language and Linguistics",642,226,69,1.236,0.904,Cambridge University Press
Applied Psychological Measurement,2.8,"79.0%
89/426
Social Sciences (miscellaneous)",458,164,68,1.215,1.039,SAGE
Asian American Journal of Psychology,2.8,"55.0%
94/209
General Psychology",300,107,75,1.348,0.912,APA
Asian Journal of Social Psychology,2.8,"78.0%
57/264
General Social Sciences",411,146,78,1.087,0.571,Wiley-Blackwell
Behaviour Change,2.8,"58.0%
122/292
Clinical Psychology",130,47,68,0.744,0.466,Cambridge University Press
Counselor Education and Supervision,2.8,"71.0%
403/1406
Education",225,81,64,1.385,0.597,Wiley-Blackwell
Emerging Adulthood,2.8,"58.0%
24/56
Life-span and Life-course Studies",559,199,72,1.067,0.485,SAGE
Europe's Journal of Psychology,2.8,"54.0%
95/209
General Psychology",485,176,64,1.212,0.508,Europe's Journal of Psychology
Infant Mental Health Journal,2.8,"60.0%
119/298
Pediatrics, Perinatology and Child Health",635,225,68,1.017,0.579,Wiley-Blackwell
Journal of Behavioral Finance,2.8,"67.0%
99/299
Finance",373,132,73,0.946,0.464,Taylor & Francis
Journal of Family Communication,2.8,"78.0%
100/467
Communication",262,93,66,1.125,0.668,Taylor & Francis
Journal of Health Care Chaplaincy,2.8,"98.0%
9/547
Religious Studies",133,47,74,2.146,0.623,Taylor & Francis
Learning Disabilities Research and Practice,2.8,"70.0%
409/1406
Education",223,81,70,1.653,0.925,Wiley-Blackwell
"Mind, Brain, and Education",2.8,"71.0%
399/1406
Education",310,110,71,0.762,0.594,Wiley-Blackwell
Multidisciplinary Journal of Educational Research,2.8,"78.0%
292/1345
Sociology and Political Science",149,53,62,1.328,0.433,Hipatia Press
Psychoanalytic Psychology,2.8,"59.0%
120/292
Clinical Psychology",449,159,69,1.536,0.755,APA
Review of Philosophy and Psychology,2.8,"94.0%
38/718
Philosophy",469,166,72,1.621,0.587,Springer Nature
Clinical Psychologist,2.7,"58.0%
123/292
Clinical Psychology",331,121,71,0.957,0.576,Taylor & Francis
Cognitive Processing,2.7,"39.0%
164/269
Artificial Intelligence",555,208,58,1.003,0.462,Springer Nature
Evolutionary Behavioral Sciences,2.7,"54.0%
135/296
Social Psychology",318,119,66,0.882,0.564,APA
Evolutionary Psychological Science,2.7,"55.0%
133/296
Social Psychology",432,160,71,0.792,0.557,Springer Nature
Experimental Aging Research,2.7,"70.0%
111/376
Arts and Humanities (miscellaneous)",323,120,65,0.926,0.521,Taylor & Francis
Genes and Environment,2.7,"61.0%
52/133
Environmental Science (miscellaneous)",356,131,62,0.765,0.449,Springer Nature
International Journal of Educational Psychology,2.7,"70.0%
411/1406
Education",140,51,61,1.043,0.393,Hipatia Press
Journal of Adult Development,2.7,"54.0%
26/56
Life-span and Life-course Studies",304,111,69,1.352,0.583,Springer Nature
Journal of Behavioral Education,2.7,"70.0%
413/1406
Education",318,116,71,1.421,0.804,Springer Nature
Journal of Child Sexual Abuse,2.7,"59.0%
122/298
Pediatrics, Perinatology and Child Health",582,215,66,1.274,0.708,Taylor & Francis
Journal of Classification,2.7,"76.0%
16/67
Mathematics (miscellaneous)",326,123,64,0.89,0.563,Springer Nature
Journal of Developmental and Life-Course Criminology,2.7,"88.0%
96/801
Law",277,101,64,0.92,0.772,Springer Nature
Journal of Motor Behavior,2.7,"54.0%
129/284
Orthopedics and Sports Medicine",709,267,77,0.771,0.373,Taylor & Francis
Journal of Turkish Science Education,2.7,"69.0%
425/1406
Education",478,179,64,1.365,0.503,Ekip Limited
Mental Health Clinician,2.7,"61.0%
29/74
General Pharmacology, Toxicology and Pharmaceutics",398,149,60,N/A,N/A,Allen Press
"Methods, Data, Analyses",2.7,"66.0%
84/250
Statistics and Probability",56,21,86,1.728,0.569,GESIS - Leibniz Institute for the Social Sciences
Psychology Learning and Teaching,2.7,"70.0%
422/1406
Education",204,76,75,0.914,0.469,SAGE
Social Psychology Quarterly,2.7,"54.0%
134/296
Social Psychology",226,84,64,1.631,1.047,SAGE
The Journal of Men's Studies,2.7,"94.0%
59/1127
Cultural Studies",195,72,61,1.317,0.555,SAGE
Applied Measurement in Education,2.6,"69.0%
429/1406
Education",282,107,53,1.418,0.636,Taylor & Francis
Group Dynamics,2.6,"54.0%
136/296
Social Psychology",174,66,74,1.365,0.566,APA
Human Technology,2.6,"75.0%
113/467
Communication",159,62,63,0.946,0.347,Centre of Sociological Research
Identity,2.6,"76.0%
318/1345
Sociology and Political Science",227,88,80,1.38,0.507,Taylor & Francis
Indian Journal of Psychological Medicine,2.6,"57.0%
125/292
Clinical Psychology",957,369,57,1.157,0.567,SAGE
Infant and Child Development,2.6,"52.0%
161/341
Developmental and Educational Psychology",498,189,62,0.888,0.639,Wiley-Blackwell
Journal of Community Psychology,2.6,"53.0%
137/296
Social Psychology",1422,542,65,1.152,0.671,Wiley-Blackwell
Journal of Educational and Psychological Consultation,2.6,"68.0%
20/61
Psychology (miscellaneous)",210,81,73,1.116,0.594,Taylor & Francis
Journal of Mathematical Behavior,2.6,"75.0%
17/67
Mathematics (miscellaneous)",573,223,68,2.09,0.948,Elsevier
Journal of Police and Criminal Psychology,2.6,"87.0%
100/801
Law",494,189,66,1.136,0.543,Springer Nature
Learning and Behavior,2.6,"37.0%
95/150
Experimental and Cognitive Psychology",444,174,67,0.851,0.455,Springer Nature
"Mind, Culture, and Activity",2.6,"93.0%
71/1127
Cultural Studies",240,94,61,1.442,0.698,Taylor & Francis
Professional Psychology: Research and Practice,2.6,"52.0%
99/209
General Psychology",467,180,62,1.016,0.577,APA
Qualitative Psychology,2.6,"53.0%
98/209
General Psychology",255,97,71,0.865,0.426,APA
Sexual Addiction and Compulsivity,2.6,"57.0%
126/292
Clinical Psychology",148,58,67,0.562,0.533,Taylor & Francis
Violence and Gender,2.6,"94.0%
65/1127
Cultural Studies",306,117,56,1.298,0.567,Mary Ann Liebert
Arts in Psychotherapy,2.5,"77.0%
8/34
Health Professions (miscellaneous)",656,266,60,1.017,0.44,Elsevier
Clinical Practice in Pediatric Psychology,2.5,"56.0%
128/292
Clinical Psychology",375,152,82,0.612,0.423,APA
Criminal Behaviour and Mental Health,2.5,"64.0%
22/61
Psychology (miscellaneous)",311,125,63,0.895,0.564,Wiley-Blackwell
International Journal of Early Years Education,2.5,"67.0%
458/1406
Education",264,106,66,1.512,0.488,Taylor & Francis
International Journal of Selection and Assessment,2.5,"55.0%
96/216
General Business, Management and Accounting",289,115,62,1.153,0.817,Wiley-Blackwell
Journal of Investigative Psychology and Offender Profiling,2.5,"51.0%
144/296
Social Psychology",190,77,61,0.957,0.342,Wiley-Blackwell
Journal of Multicultural Counseling and Development,2.5,"93.0%
76/1127
Cultural Studies",174,71,61,0.935,0.472,Wiley-Blackwell
Journal of Politeness Research,2.5,"93.0%
72/1127
Cultural Studies",114,45,71,0.949,0.454,Walter de Gruyter
Journal of Rational - Emotive and Cognitive - Behavior Therapy,2.5,"55.0%
130/292
Clinical Psychology",294,120,66,1.176,0.425,Springer Nature
Journal of Workplace Learning,2.5,"68.0%
91/287
Development",364,144,69,1.177,0.497,Emerald Publishing
Malaysian Journal of Learning and Instruction,2.5,"93.0%
74/1127
Cultural Studies",209,84,62,0.965,0.286,Universiti Utara Malaysia Press
Neuropsychopharmacology Reports,2.5,"56.0%
127/292
Clinical Psychology",487,192,59,0.663,0.579,Wiley-Blackwell
Psychology in the Schools,2.5,"67.0%
453/1406
Education",1109,439,64,1.089,0.666,Wiley-Blackwell
Social Inclusion,2.5,"75.0%
325/1345
Sociology and Political Science",1033,408,93,1.058,0.469,Cogitatio Press
Victims and Offenders,2.5,"86.0%
106/801
Law",630,249,72,1.164,0.692,Taylor & Francis
Young,2.5,"75.0%
334/1345
Sociology and Political Science",314,128,66,1.066,0.476,SAGE
Anuario de Psicologia Juridica,2.4,"84.0%
122/801
Law",113,48,73,0.739,0.352,Colegio Oficial de Psicólogos de Madrid
Evolutionary Psychology,2.4,"50.0%
147/296
Social Psychology",346,144,63,0.825,0.537,SAGE
Exceptionality,2.4,"65.0%
492/1406
Education",207,88,64,0.93,0.6,Taylor & Francis
Handbooks of Sociology and Social Research,2.4,"74.0%
341/1345
Sociology and Political Science",779,323,48,N/A,N/A,Springer Nature
International Journal of Clinical and Experimental Hypnosis,2.4,"90.0%
2/15
Complementary and Manual Therapy",273,112,70,0.929,0.441,Taylor & Francis
International Journal of Emotional Education,2.4,"65.0%
486/1406
Education",124,52,65,1.013,0.506,University of Malta
International Journal of Sexual Health,2.4,"76.0%
41/173
Gender Studies",363,153,66,1.028,0.59,Taylor & Francis
Journal of Developmental and Physical Disabilities,2.4,"58.0%
91/218
Physical Therapy, Sports Therapy and Rehabilitation",517,216,70,1.003,0.509,Springer Nature
Journal of Family Therapy,2.4,"72.0%
117/426
Social Sciences (miscellaneous)",304,128,61,1.305,0.492,Wiley-Blackwell
Journal of Psycholinguistic Research,2.4,"87.0%
133/1032
Linguistics and Language",684,283,71,0.835,0.464,Springer Nature
Journal of Psychophysiology,2.4,"37.0%
41/65
Neuropsychology and Physiological Psychology",210,88,70,0.703,0.377,Hogrefe Publishing
Journal of Research in Childhood Education,2.4,"65.0%
480/1406
Education",348,145,70,1.455,0.615,Taylor & Francis
Measurement and Evaluation in Counseling and Development,2.4,"66.0%
474/1406
Education",195,80,68,1.283,0.444,Taylor & Francis
Neuropsychiatrie,2.4,"54.0%
132/292
Clinical Psychology",207,85,54,0.653,0.419,Springer Nature
Philosophical Psychology,2.4,"92.0%
53/718
Philosophy",495,206,57,1.317,0.634,Taylor & Francis
Rehabilitation Counseling Bulletin,2.4,"64.0%
46/129
Rehabilitation",215,91,63,0.949,0.377,SAGE
SA Journal of Industrial Psychology,2.4,"51.0%
145/296
Social Psychology",323,132,64,0.778,0.401,OpenJournals Publishing AOSIS (Pty) Ltd
Sleep and Hypnosis,2.4,"61.0%
36/93
Complementary and Alternative Medicine",172,72,63,0.377,0.204,Kure Iletisim Grubu A S
Women and Therapy,2.4,"74.0%
44/173
Gender Studies",228,97,82,0.773,0.371,Taylor & Francis
Asian Journal of Social Health and Behavior,2.3,"58.0%
134/323
Health (social science)",58,25,40,N/A,N/A,Wolters Kluwer Health
Assessment for Effective Intervention,2.3,"63.0%
510/1406
Education",248,108,74,0.962,0.484,SAGE
Child Care in Practice,2.3,"74.0%
10/37
Community and Home Care",241,104,81,0.846,0.346,Taylor & Francis
Cognitive Linguistics,2.3,"86.0%
132/968
Language and Linguistics",202,87,67,2.043,0.509,Walter de Gruyter
Dreaming,2.3,"50.0%
103/209
General Psychology",238,102,55,0.776,0.504,APA
Early Child Development and Care,2.3,"72.0%
7/24
Pediatrics",1677,719,69,0.98,0.452,Taylor & Francis
Integrative Psychological and Behavioral Science,2.3,"93.0%
79/1127
Cultural Studies",444,190,69,0.861,0.371,Springer Nature
"International Journal of Disability, Development and Education",2.3,"75.0%
9/34
Health Professions (miscellaneous)",428,185,70,0.85,0.369,Taylor & Francis
International Journal of Wellbeing,2.3,"68.0%
60/189
Economics, Econometrics and Finance (miscellaneous)",113,49,49,1.065,0.646,International Journal of Wellbeing Charitable Trust
Journal for the Theory of Social Behaviour,2.3,"91.0%
63/718
Philosophy",254,110,65,1.77,0.469,Wiley-Blackwell
Journal of Child and Adolescent Mental Health,2.3,"54.0%
136/298
Pediatrics, Perinatology and Child Health",108,46,76,0.997,0.378,Taylor & Francis
Journal of Educational Measurement,2.3,"63.0%
509/1406
Education",262,114,69,1.31,1.013,Wiley-Blackwell
Journal of Employment Counseling,2.3,"49.0%
107/209
General Psychology",110,48,75,0.935,0.482,Wiley-Blackwell
Journal of Pacific Rim Psychology,2.3,"72.0%
73/264
General Social Sciences",283,123,70,0.778,0.495,SAGE
Journal of Prevention and Intervention in the Community,2.3,"47.0%
155/296
Social Psychology",243,106,69,0.755,0.352,Taylor & Francis
Organizational Dynamics,2.3,"73.0%
355/1345
Sociology and Political Science",376,162,52,N/A,0.493,Elsevier
Perceptual and Motor Skills,2.3,"35.0%
98/150
Experimental and Cognitive Psychology",792,339,60,0.992,0.498,SAGE
Psicologia: Reflexao e Critica,2.3,"50.0%
104/209
General Psychology",261,112,64,1.106,0.464,Springer Nature
Advances in Neurodevelopmental Disorders,2.2,"71.0%
122/426
Social Sciences (miscellaneous)",379,169,64,0.69,0.352,Springer Nature
American Indian and Alaska Native Mental Health Research,2.2,"96.0%
48/1499
History",117,53,62,0.669,0.356,National Center for American Indian Mental Health Research
Basic and Applied Social Psychology,2.2,"46.0%
158/296
Social Psychology",241,109,66,0.947,0.495,Taylor & Francis
Counseling Outcome Research and Evaluation,2.2,"47.0%
111/209
General Psychology",78,36,75,1.161,0.731,Taylor & Francis
Counselling and Psychotherapy Research,2.2,"53.0%
136/292
Clinical Psychology",575,259,53,1.144,0.475,Wiley-Blackwell
Culture and Psychology,2.2,"92.0%
88/1127
Cultural Studies",321,144,59,1.409,0.396,SAGE
European Early Childhood Education Research Journal,2.2,"62.0%
527/1406
Education",527,238,63,1.413,0.631,Taylor & Francis
Health Psychology Report,2.2,"52.0%
139/292
Clinical Psychology",205,95,61,0.697,0.291,Termedia Publishing House Ltd.
Health Psychology Research,2.2,"53.0%
137/292
Clinical Psychology",97,44,59,0.817,0.464,Open Medical Publishing
International Journal of Comparative and Applied Criminal Justice,2.2,"83.0%
131/801
Law",205,93,65,1.248,0.505,Taylor & Francis
International Journal of Developmental Disabilities,2.2,"45.0%
185/341
Developmental and Educational Psychology",363,164,75,0.819,0.504,Taylor & Francis
"International Perspectives in Psychology: Research, Practice, Consultation",2.2,"52.0%
140/292
Clinical Psychology",140,65,78,0.883,0.399,Hogrefe Publishing
Journal of Behavioral and Experimental Economics,2.2,"71.0%
77/264
General Social Sciences",864,389,60,0.869,0.542,Elsevier
Journal of Consciousness Studies,2.2,"90.0%
69/718
Philosophy",585,272,62,0.944,0.453,Imprint Academic
Journal of EMDR Practice and Research,2.2,"45.0%
291/529
Psychiatry and Mental Health",201,91,66,0.445,0.347,Springer Publishing Company
Learning and Motivation,2.2,"61.0%
535/1406
Education",362,167,61,0.766,0.412,Elsevier
Methodology,2.2,"71.0%
75/264
General Social Sciences",164,73,59,0.946,0.936,Hogrefe Publishing
Military Psychology,2.2,"71.0%
123/426
Social Sciences (miscellaneous)",406,184,63,0.752,0.372,Taylor & Francis
"Research in Psychotherapy: Psychopathology, Process and Outcome",2.2,"52.0%
138/292
Clinical Psychology",273,126,77,0.562,0.378,Society for Psychotherapy Research (SPR - Italia)
Roeper Review,2.2,"62.0%
523/1406
Education",165,74,62,1.611,0.503,Taylor & Francis
Social Cognition,2.2,"47.0%
157/296
Social Psychology",293,132,58,0.915,0.653,Guilford Press
Spatial Cognition and Computation,2.2,"53.0%
73/155
Earth-Surface Processes",112,51,65,0.692,0.374,Taylor & Francis
"TPM - Testing, Psychometrics, Methodology in Applied Psychology",2.2,"56.0%
27/61
Psychology (miscellaneous)",285,131,63,0.752,0.441,Cises SRL
Vulnerable Children and Youth Studies,2.2,"72.0%
371/1345
Sociology and Political Science",303,138,57,0.871,0.482,Taylor & Francis
Youth Justice,2.2,"83.0%
133/801
Law",135,62,58,1.071,0.557,SAGE
Advances in Autism,2.1,"43.0%
193/341
Developmental and Educational Psychology",197,95,65,0.573,0.345,Emerald Publishing Publishing
Canadian Journal of School Psychology,2.1,"44.0%
189/341
Developmental and Educational Psychology",159,74,70,0.707,0.352,SAGE
Clinical Psychology in Europe,2.1,"51.0%
141/292
Clinical Psychology",180,84,60,1.009,0.697,PsychOpen
Contemporary Issues in Early Childhood,2.1,"60.0%
550/1406
Education",239,113,61,1.031,0.42,SAGE
Early Years,2.1,"60.0%
555/1406
Education",264,126,72,0.805,0.298,Taylor & Francis
"Food, Culture and Society",2.1,"91.0%
96/1127
Cultural Studies",321,155,62,1.363,0.465,Taylor & Francis
Health Psychology and Behavioral Medicine,2.1,"53.0%
152/323
Health (social science)",250,120,53,1.023,0.585,Taylor & Francis
"International Journal of Cognitive Research in Science, Engineering and Education",2.1,"60.0%
551/1406
Education",281,133,63,0.868,0.345,"Association for the Development of Science, Engineering and Education"
"Journal of Aggression, Conflict and Peace Research",2.1,"81.0%
146/801
Law",184,89,69,0.803,0.297,Emerald Publishing
Journal of Genetic Psychology,2.1,"50.0%
145/292
Clinical Psychology",264,128,53,0.889,0.502,Taylor & Francis
"Journal of Neuroscience, Psychology, and Economics",2.1,"65.0%
65/189
Economics, Econometrics and Finance (miscellaneous)",116,56,57,0.751,0.321,APA
Journal of Organizational Behavior Management,2.1,"45.0%
248/456
Strategy and Management",124,59,59,1.091,0.306,Taylor & Francis
Journal of Theoretical Social Psychology,2.1,"45.0%
163/296
Social Psychology",194,93,42,1.237,0.605,Wiley-Blackwell
Motivation Science,2.1,"45.0%
95/173
Environmental Engineering",151,73,60,1.225,0.621,APA
Neuropsychoanalysis,2.1,"33.0%
44/65
Neuropsychology and Physiological Psychology",54,26,54,0.741,0.827,Taylor & Francis
