PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Zashchirinskaia, Oksana, V								SPECIFIC FEATURES OF THE COMPREHENSION OF TEXTS AND STORY PICTURES BY ADOLESCENTS WITH INTELLECTUAL DISTURBANCES								ACTA NEUROPSYCHOLOGICA				18	2			221	231					2020	2020	Background: The present article addresses the peculiarities of comprehending visual stimuli by adolescents with intellectual disturbances. We have studied the ability of school students to analyse and synthesise the meaning of the text and a series of story pictures, to successively retell their content, and distinguish the main semantic constructs. Material/Methods: We examined 60 adolescents: 20 normatively developing students from secondary school, 20 students with learning disabilities and 20 children with a clinical diagnosis of "intellectual disturbances". The age of the students ranged from 15 to 19 years old (the average age was 16 years 1 month old). The age range was due to the presence of adolescents with intellectual disturbances. The examination involved 25 girls and 35 boys. The main method of research is authorial questionnaire. A small excerpt from the Russian folk tale "The Wolf and the Seven Young Goats" is used as a verbal stimulus, and Bidstrup comic cartoons - as a non-verbal stimulus. The technique of eye-tracking is used as a research method that allows registering the number of fixations, duration of gaze and length of saccades. Results: The differences in the comprehension of text and picture visual stimuli in students with different levels of intelligence have been determined. In the case of intellectual disturbances, the duration of fixations significantly increases when perceiving the texts. The level of intelligence affects the parameters of the recognition and decoding of the visual information significantly. Conclusions: It was found that the specifics of understanding texts and subject pictures by adolescents with intellectual disturbances are due to thinking passivity and different formats of information.		[Zashchirinskaia, Oksana, V] St Petersburg State Univ, Dept Pedag & Pedag Psychol, St Petersburg, Russia; [Zashchirinskaia, Oksana, V] St Petersburg State Univ, 7-9 Univ Skaya Emb, St Petersburg 199034, Russia								3							Psychology	WOS:000546806400005		
J	Barros Soares, Ana Sofia; Pais-Ribeiro, Jose Luis; Lopes Silva, Isabel Maria								Personal and Contextual Assets Predictors of Positive Affect and negative Affect in Adolescents								AVANCES EN PSICOLOGIA LATINOAMERICANA				38	1			33	47		10.12804/revistas.urosario.edu.co/apl/a.7472			2020	2020	The purpose of this research was to explore the relationship between the experience of personal and ecological Developmental Assets (R) and positive and negative affect. A convenience sample of 503 Portuguese students was evaluated, mean age of 15.92 years (SD = 1.17), 63 % female gender. Results indicate that adolescents who experience a greater number of assets tend to reveal a superior experience of positive affect and an inferior of negative affect. Data suggest the impact of subsets of Development Assets (R) on the prediction of positive and negative affect (explaining 30 and 31 % of the variance, respectively): both internal and external assets contributed to the variance in results, internal ones constitute stronger predictors. Present findings suggest the utility of the Developmental Assets (R) framework in order to understand the experience of positive and negative affect in adolescence, focusing on promoting a successful development.		[Barros Soares, Ana Sofia; Pais-Ribeiro, Jose Luis] Univ Porto, Porto, Portugal; [Lopes Silva, Isabel Maria] Univ Fernando Pessoa, Porto, Portugal; [Barros Soares, Ana Sofia] Univ Porto, Porto, Portugal; [Barros Soares, Ana Sofia] Univ Porto, Fac Psicol & Ciencias Educ, Porto, Portugal								0							Psychology	WOS:000544349800004		
J	Endres, Renata Giuliani; Sbicigo, Juliana Burges; de Salles, Jerusa Fumagalli; Bosa, Cleonice Alves								Broader Autism Phenotype and Pragmatic Abilities in Parents of Children with and without Autistic Spectrum Disorder								AVANCES EN PSICOLOGIA LATINOAMERICANA				38	2						10.12804/revistas.urosario.edu.co/apl/a.7855			2020	2020	The broader autism phenotype (BAP) has been defined as subclinical traits that configure the phenotypic expression of genetic susceptibility to the development of Autistic Spectrum Disorder (ASD). The literature has pointed to the relationship between communicative-pragmatic skills and autism. However, there is controversy as to whether these skills constitute a specific feature of the BAP. Still, research with first-degree relatives of people with ASD has not yet been successful in establishing definitive markers. Thus, this study compared the performance of parents of children with (n=26) and without ASD (n=26) in communicative-pragmatic skills tasks and BAP indicators. The Broader Autism Phenotype Questionnaire (BAPQ) and subtests of the Montreal Communication Evaluation Battery (MAC Battery), and the Wechsler Abbreviated Intelligence Scale (WASI) were applied. The results indicated that parents of children with ASD had greater difficulty in the pragmatic language of the BAPQ, although they did not meet the criteria for BAP and in communicative-pragmatic skills of conversational speech, emotional prosody, metaphor interpretation, and indirect speech acts. The clinical group also presented a lower verbal IQ score compared to the nonclinical group. It is concluded that greater difficulties in cognitive-pragmatic skills may be a central and probably specific aspect of the BAP in family members of children with ASD, as well as difficulties in structural aspects of language, such as verbal intelligence. These results have implications for understanding the possible influence of familiar socio-cognitive factors on the genesis of autism.		[Endres, Renata Giuliani; Sbicigo, Juliana Burges; de Salles, Jerusa Fumagalli; Bosa, Cleonice Alves] Univ Fed Rio Grande do Sul, Porto Alegre, RS, Brazil; [Endres, Renata Giuliani] Univ Fed Rio Grande do Sul, Porto Alegre, RS, Brazil								0							Psychology	WOS:000597206200009		
J	Ferroni, Marina								Impact of Mental Lexicon on Reading Comprehension Children Growing up in Poverty								ACTUALIDADES EN PSICOLOGIA				34	129			1	16		10.15517/ap.v34i129.37043			2020	2020	Objetive. This study analyses the impact that lexical representations of Spanish-speaking children in contexts of poverty have on the reading comprehension skills. Method. To this end, an assessment was made of the reading comprehension of 61 children. The results helped identify two groups within the sample: one with a high level of comprehension, and a second with a low level of comprehension. Each groups vocabulary (semantic representations of the mental lexicon) and reading level (orthographic representations of the mental lexicon) was then assessed. Other important skills related to comprehension were likewise explored, such as working memory, inference-making ability, and morphosyntactic processing of spoken language. Results. The results provide evidence regarding the substantial impact of mental lexicon representations on reading comprehension.		[Ferroni, Marina] Univ Nacl La Plata, Inst Linguist, Consejo Nacl Invest Cient & Tecn CONICET, Ceretti 3553, RA-1431 Buenos Aires, DF, Argentina; [Ferroni, Marina] Univ Nacl La Plata, Inst Linguist, Consejo Nacl Invest Cient & Tecn CONICET, Ceretti 3553, RA-1431 Buenos Aires, DF, Argentina								2							Psychology	WOS:000608713800001		
J	Pachalska, Maria; Goral-Polrola, Jolanta								THE NEUROPSYCHOLOGY OF METAPHORS IN PATIENTS AWAKENED FROM POST-TRAUMATIC COMA								ACTA NEUROPSYCHOLOGICA				18	4			437	464		10.5604/01.3001.0014.4987			2020	2020	Background: Metaphor simply is defined as a verbal construct with two referents: one literal, based on the ordinary, concrete meanings of the word or words involved, and the other metaphorical, that is one derived from an implicit analogy between the literal referent and some other phenomenon, usually an abstraction that is implied, but not named. The aim of this paper is a description of the neuropsychology of metaphors in patients awakened from post-traumatic coma. Material/Methods: A group of 34 patients awakened from post-traumatic coma and treated at the Reintegrative and Teaching Centre of the Polish Neuropsychological Society, Poland during the period 20172019 participated in this study. This group included 15 women and 17 men, with an average age of 31.2 +/- 8.72 years; as a group, the women were somewhat older (32.6 +/- 9.79 vs. 31.1 +/- 9.18). We recorded the patients' utterances with the use of video recordings of open-ended conversations, and made occasional efforts to introduce proverbs, idioms, and other metaphors into their conversation, but this was done on an impromptu basis. Results: The analysis of recordings of 100 randomly selected statements obtained from each patient revealed the presence of 4 types of errors: (1) non-comprehension, i.e. the listener's inability to comprehend the meaning of the metaphor used by the speaker, as indicated by the lack of an adequate response, an expression of puzzlement, or a question as to the meaning of the metaphor used by the speaker; (2) concretization, which occurs when the listener reacts to the literal meaning of the word, phrase, or sentence, rather than its metaphorical referent; (3) misapplication, when the speaker uses a familiar metaphor in an inappropriate context; (4) the use of incomprehensible or bizarre metaphors by the speaker, so that the intended meaning is difficult or impossible for the listener to ascertain. On many occasions, however, the gist of the metaphor emerged at some later point in the discourse, despite the surface problems. Conclusions: It was found that the TBI patients we studied showed a marked tendency in spontaneous conversation to concretize or misunderstand the metaphors used by others, and to use inappropriate or bizarre metaphors in their own speech. On many occasions, however, the gist of the metaphor emerged at some later point in the discourse, despite the surface problems.		[Pachalska, Maria] Andrzej Frycz Modrzewski Cracow Univ, Dept Neuropsychol & Neurorehabil, Krakow, Poland; [Goral-Polrola, Jolanta] Old Polish Univ, Kielce, Poland; [Pachalska, Maria] Andrzej Frycz Modrzewski Krakow Univ, Chair Neuropsychol & Neurorehabil, Ul Andrzeja Herlinga Grudzinskiego 1, PL-30750 Krakow, Poland								0							Psychology	WOS:000617070200003		
J	Fernandes, Delfina; Albuquerque, Pedro B.; Luna, Karlos								Can Enlightenment Post-Warnings Eliminate Memory Conformity?								AVANCES EN PSICOLOGIA LATINOAMERICANA				38	3						10.12804/revistas.urosario.edu.co/apl/a.8375			2020	2020	After discussing with another witness an event, a person can incorporate new and false information in his/her own memories. That false information may appear in later accounts of the event, a phenomenon called memory conformity. The present study aimed to understand how witnesses can be protected from this false information using enlightenment post-warnings and the MORI technique. In pairs, each participant saw a different video that contained inconsistent information. Then, members of the pair discussed details of the video, and sometimes spontaneously introduced false information. Finally, half of the participants received an enlightenment post-warning, and then all participants completed a recognition test. The results showed that the discussion between witnesses impaired memory accuracy, showing the memory conformity effect. However, the enlightenment post-warnings did not reduce that effect. We conclude that the misleading information introduced by discussing with another witness has a strong influence on the memory of the event. In this way, the accounts of witnesses may contain false information difficult to get rid of, which is particularly wonying to the legal system.		[Fernandes, Delfina; Albuquerque, Pedro B.] Univ Minho, Gualtar, Portugal; [Luna, Karlos] Univ Nacl Colombia, Bogota, Colombia; [Fernandes, Delfina] Univ Minho, Gualtar, Escola Psicol, Grp Invest Memoria & Cognicao Humana, P-4710057 Gualtar, Portugal								1							Psychology	WOS:000656680600011		
J	Milska, Katarzyna A.; Rudnik, Agata; Manski, Arkadiusz; Wierzba, Jolanta								MEDICAL STUDENTS' KNOWLEDGE AND SENSITIVITY TO DYSMORPHIC FEATURES OF A CHILD WITH CRANIOFACIAL MICROSOMIA (CFM)								ACTA NEUROPSYCHOLOGICA				18	4			425	436		10.5604/01.3001.0014.4985			2020	2020	Background: The aim of the study was to examine the level of knowledge and sensitivity to dysmorphic features in a child with facial and body dysmorphia on the part of students of medicine and dentistry. Material/Methods: We tested 70 students of medicine and 70 students of dentistry. A photograph of a child with craniofacial microsomia (CFM)was shown to all the tested students. Their task was to detect and name those facial deformities and describe the child in terms of selected features not related to the child's health condition. As a tool was used the Overgeneralization Effect Scale and a questionnaire designed by the author relating to facial deformities. Results: Significant differences were observed in the level of knowledge and sensitivity to dysmorphic features between students of medicine and dentistry. Future dentists detected more dysmorphic features in the face of the photographed child when compared to students of medicine. Interestingly, this sensitivity to abnormalities was found to noticeably increase with each subsequent year of study for dentistry students, while the opposite was observed for the students of medicine. Importantly, a relationship was observed between the sensitivity to dysmorphic features and the general evaluation of the child in terms of non-medical aspects by the group of dentistry students. With the increase in the students' skills to recognize dysmorphic features, the overall evaluation of the child tended to decrease. Conclusions: The results obtained indicate that the skills related to recognizing dysmorphic features are better in students of dentistry than in students of medicine. The sensitivity to abnormalities evidently increase with each subsequent year of study for dentistry students, while the opposite was observed for medical students.		[Milska, Katarzyna A.] Med Univ Gdansk, Inst Maritime & Trop Med, Fac Hlth Sci, Dept Qual Life Res, Gdansk, Poland; [Rudnik, Agata] Med Univ Gdansk, Inst Psychol, Gdansk, Poland; [Rudnik, Agata] Minist Internal Affairs, Independent Publ Hlth Care, Dept Gastroenterol, Gdansk, Poland; [Manski, Arkadiusz] Univ Gdansk, Inst Psychol, Psychol Counselling Ctr Rare Genet Dis, Gdansk, Poland; [Manski, Arkadiusz; Wierzba, Jolanta] Kashubian Inst Gdansk, Gdansk, Poland; [Wierzba, Jolanta] Med Univ Gdansk, Dept Pediat & Internal Med Nursing, Gdansk, Poland; [Milska, Katarzyna A.] Med Univ Gdansk, Dept Qual Life Res, Tuwima 15, PL-80210 Gdansk, Poland								0							Psychology	WOS:000617070200002		
J	Ramos-Noboa, Isabel; Larzabal-Fernandez, Aitor; Moreta-Herrera, Rodrigo								Factorial Structure and Reliability of Cyberbullying Questionnaire (CBQ) and her Complement (BCQ-V) in Ecuadorian Teenagers								ACTUALIDADES EN PSICOLOGIA				34	128			35	50		10.15517/ap.v34i128.35408			2020	2020	Objective. To analyze the factor structure and reliability of the Cyberbullying Questionnaire (CBQ), which measures the prevalence of cyberbullying; as well as measure the complement on victimization (CBQ-V). Method. The study is instrumental in verifying the factorial construction and internal consistency of the tests in a sample of 998 high school students from six educational centres in Tungurahua. Results. It was found that the CBQ explains 58.5% of the variance with three factors with values of S-B chi(2)= 29.5; df = 24; p >.05; S-B chi(2)/df = 1.2; NNFI = .95; CFI = .96; GFI = .90 and RMSEA = .08 IC 90% [.10 - .05]. While the CBQ-V also with three factors explains 52.6% of the variance with S-B chi(2) = 29.5; df = 24; p > .05; S-B chi(2)/df = 1.2; NNFI = .95; CFI = .96; GFI = .90 and RMSEA = .08 IC 90% [.10 - .05]. Regarding reliability, the scores reached for the CBQ is alpha((ordinal))=.903 and CBQ-V is alpha((ordinal))=.879. It is concluded that the tests under analysis are valid as a construct and reliable in Tungurahua high school students.		[Ramos-Noboa, Isabel; Larzabal-Fernandez, Aitor; Moreta-Herrera, Rodrigo] Pontificia Univ Catolica Ecuador, Escuela Psicol, Av Manuela Saenz S-N, Ambato, Ecuador; [Ramos-Noboa, Isabel] Pontificia Univ Catolica Ecuador, Escuela Psicol, Av Manuela Saenz S-N, Ambato, Ecuador								1							Psychology	WOS:000546800500003		
J	Mehrotra, Seema								Reaching the Unreached: Insights on Psychological Interventions Beyond the Clinic-Walls								INDIAN JOURNAL OF PSYCHOLOGICAL MEDICINE				42	1			93	98		10.4103/IJPSYM.IJPSYM_220_19			JAN-FEB 2020	2020			[Mehrotra, Seema] NIMHANS, Dept Clin Psychol, Bengaluru 560029, Karnataka, India; [Mehrotra, Seema] NIMHANS, Dept Clin Psychol, Bengaluru 560029, Karnataka, India								1							Psychology	WOS:000537463700013		
J	Barros-Delben, Paola; Cruz, Roberto Moraes; Cardoso, Gabriel de Melo; de Wit, Paulus Arnoldus								Challenges and Perspectives of Research and Psychological Intervention in the Antarctic Environment								AVANCES EN PSICOLOGIA LATINOAMERICANA				38	2						10.12804/revistas.urosario.edu.co/apl/a.7030			2020	2020	Isolated, confined, and extreme environments are natural laboratories for behavioral studies. Antarctica provides one of the most hostile environments in the world for human psychophysiology and survival. The objective of this study is to identify the challenges and perspectives for research and psychological intervention in the Antarctic environment. The method was an exploratory-descriptive ethnographical study based on (a) evidence from literature related to research and psychological intervention in Antarctica and (b) an empirical qualitative study of the interaction of expeditionary members with the Antarctic environment, using interviews and a welcoming attitude of positive attention, at the beginning and end of a summer mission to Antarctica. Civilians and military personnel from two ships, as well as the Brazilian Antarctic station participated. Results: The main challenges encountered in the research include the limitations of the setting and the unpredictability of the context. The study identified that exposure to the Antarctic environment influences the emergence of interpersonal conflicts, alcohol consumption, harassment behaviors, and negative feelings of affection. Conclusion: The insertion of psychologists in Antarctica shows a concrete opportunity for research and intervention, with expected repercussions on the health and professional performance of expeditionary members.		[Barros-Delben, Paola; Cruz, Roberto Moraes; Cardoso, Gabriel de Melo; de Wit, Paulus Arnoldus] Univ Fed Santa Catarina, Florianopolis, SC, Brazil; [Barros-Delben, Paola] Univ Fed Santa Catarina, Florianopolis, SC, Brazil								0							Psychology	WOS:000597206200003		
J	Elwadhi, Deeksha; Khandelwal, S. K.; Kumar, Lalit; Sharma, Atul								Short-Term Impact of Hematopoietic Stem Cell Transplantation on Psychiatric Morbidity and Quality of Life in Hematological Malignancies in Adults								INDIAN JOURNAL OF PSYCHOLOGICAL MEDICINE				42	1			61	68		10.4103/IJPSYM.IJPSYM_70_19			JAN-FEB 2020	2020	Background: Hematopoietic stem cell transplantation (HSCT) is an established treatment for a number of malignancies. Quality of life (QOL) is an important marker for assessing arduous treatment modalities. Diagnosis of cancer, HSCT, and the physical and psychosocial sequelae of the intensive treatment lead to a deficit in the QOL of the recipient. This study aimed to assess the impact of HSCT on psychiatric morbidity and QOL in patients with hematological malignancies. Methods: A longitudinal pre-post study was conducted at a cancer research center. Thirty patients with hematological malignancies were assessed at three different time points for psychiatric symptoms and QOL. Sociodemographic and clinical variables were collected using a semi-structured questionnaire. Comprehensive psychopathological rating scale was used to assess the psychiatric symptoms. WHO QOL Bref and cancer-specific European Organisation for Research and Treatment of Cancer Quality of life Questionnaire (EORTC-QLQ) were used to measure the quality of life.Results: The mean (SD) age of the sample was 42.3 (12.8) years, with 24 males and 6 females. Most patients reported anxiety and depressive symptoms, reaching a peak at 3 week post-HSCT. The maximum deficit in QOL scores was seen at 3 weeks, with further improvement at 3-month post-transplant. Conclusions: HSCT leads to an increase in symptoms and a decrease in QOL during the acute phase. In the long run, it leads to improvement in physical and psychological wellbeing, with improvement in QOL. The recent surge in the long-term survivors of the procedure calls for further research in this direction so as to aid in their full recovery.		[Elwadhi, Deeksha] AIIMS, Holy Family Hosp, Dept Hlth Res, New Delhi, India; [Khandelwal, S. K.] AIIMS, Holy Family Hosp, Dept Psychiat, New Delhi, India; [Kumar, Lalit; Sharma, Atul] AIIMS, Dept Med Oncol, New Delhi, India; [Elwadhi, Deeksha] India Red Cross Soc Bldg,1 Red Cross Rd, New Delhi 110001, India								0							Psychology	WOS:000537463700009		
J	Eugenia Fernandez, Maria; Van Damme, Lore; Daset, Lilian; Vanderplasschen, Wouter								Predictors of Domain-Specific Aspects of Subjective Well-Being among School Going Adolescents in Uruguay								AVANCES EN PSICOLOGIA LATINOAMERICANA				38	1			85	99		10.12804/revistas.urosario.edu.co/apl/a.6933			2020	2020	Research shows that subjective well-being (swill) is of high relevance in the developmental period of adolescence, with many researchers emphasizing the importance of a concrete and multidimensional conceptualization. In this study, we aim to explore the predictors of domain-specific aspects of SWB in a sample of students between 12 and 18 years old in Uruguay. The Personal Wellbeing Index was used to assess the global level of sws and the scores of the seven swill domains (standard of living, health, achievements, relationships with others [peers and family], safety, community-connectedness, and future security). The Adolescent Self-Report, the National Alcohol Survey, and the Cannabis Abuse Screening Test were used to assess psychopathology, resilience, alcohol and marijuana use, respectively. Adolescents reported the highest satisfaction with the domain of community-connectedness and the least with the safety domain. Multivariate linear regression analyses indicated the existence of domain-specific determinants for the different domains of SWB. The safety domain was most influenced by the selected variables of interest, while these had a rather limited impact on the health domain. The paper discusses implications for prevention and clinical interventions in the context of schools, consultation to parents and teachers, and psychological assessment and treatment.		[Eugenia Fernandez, Maria; Daset, Lilian] Univ Catolica Uruguay, Montevideo, Uruguay; [Van Damme, Lore; Vanderplasschen, Wouter] Univ Ghent, Ghent, Belgium; [Eugenia Fernandez, Maria] Univ Catolica Uruguay, Dept Psicol Clin & Salud, Montevideo, Uruguay								3							Psychology	WOS:000544349800007		
J	Gutierrez-Pelaez, Miguel; Fernanda Ramirez, Luisa								Advances in Latin American Psychology (APL) 2015-2020: state of the art, milestones, achievements and perspectives								AVANCES EN PSICOLOGIA LATINOAMERICANA				38	3									2020	2020			[Gutierrez-Pelaez, Miguel; Fernanda Ramirez, Luisa] Univ Rosario, Bogota, Colombia; [Gutierrez-Pelaez, Miguel] Univ Rosario, Bogota, Colombia								0							Psychology	WOS:000656680600001		
J	Rafael Sanabria-Leon, Jorge								Early Dyadic Communication: Microanalysis of Eight Cases								ACTUALIDADES EN PSICOLOGIA				34	128			69	101		10.15517/ap.v34i128.37388			2020	2020	Objective. This paper characterizes mother-baby interaction styles for the purpose of identifying dyadic bonding throughout the first year of life. The Forms of Interaction are emphasized as a central concept for the incorporation of the subject into communication and then to language. Method. Records of natural interactions from eight dyads to six weeks, six months and one year of age identify the progressive constitution of the dyadic communication system. Results. The elucidation of body signs and the emergence of emotional regulation at six weeks, the interplay with social scenes at six months, and the establishment of the dyadic semantic field at one year are salient features that intertwine during the process. Triangulation with the social environment is a constant within the interaction.		[Rafael Sanabria-Leon, Jorge] Univ Costa Rica, Escuela Psicol, San Jose 2060, Costa Rica; [Rafael Sanabria-Leon, Jorge] Univ Costa Rica, Escuela Psicol, San Jose 2060, Costa Rica								0							Psychology	WOS:000546800500005		
J	Eilers, Rebekka; Rimane, Eline; Vogel, Anna; Renneberg, Babette; Steil, Regina; Rosner, Rita								The Impact of the New ICD-11 Criteria on Abused Young People: 30% Less PTSD and CPTSD Diagnoses Compared to DSM-IV								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	1			59	61		10.1159/000503794			JAN 2020	2020			[Eilers, Rebekka; Rimane, Eline; Vogel, Anna; Rosner, Rita] Catholic Univ Eichstatt Ingolstadt, Dept Psychol, Ostenstr 25, DE-85071 Eichstatt, Germany; [Renneberg, Babette] Free Univ Berlin, Dept Clin Psychol, Berlin, Germany; [Steil, Regina] Goethe Univ Frankfurt, Dept Clin Psychol & Psychotherapy, Frankfurt, Germany; [Eilers, Rebekka] Catholic Univ Eichstatt Ingolstadt, Dept Psychol, Ostenstr 25, DE-85071 Eichstatt, Germany								8							Psychiatry; Psychology	WOS:000507926000012		
J	Restrepo-Martinez, Miguel; Chacon-Gonzalez, Jacobo; Bayliss, Leo; Ramirez-Bermudez, Jesus; Fricchione, Gregory Lewis; Espinola-Nadurille, Mariana								Delirious Mania as a Neuropsychiatric Presentation in Patients With Anti-N-methyl-D-aspartate Receptor Encephalitis								PSYCHOSOMATICS				61	1			64	69		10.1016/j.psym.2019.03.002			JAN-FEB 2020	2020			[Restrepo-Martinez, Miguel; Chacon-Gonzalez, Jacobo; Bayliss, Leo; Ramirez-Bermudez, Jesus; Espinola-Nadurille, Mariana] Natl Inst Neurol & Neurosurg Mexico, Dept Neuropsychiat, Mexico City, DF, Mexico; [Bayliss, Leo] Natl Inst Neurol & Neurosurg Mexico, Dept Neurol, Mexico City, DF, Mexico; [Fricchione, Gregory Lewis] Massachusetts Gen Hosp, Dept Psychiat, Boston, MA 02114 USA; [Restrepo-Martinez, Miguel] Natl Inst Neurol & Neurosurg Mexico, Neuropsychiat Unit, Insurgentes Sur 3877, Mexico City, DF, Mexico								6							Psychiatry; Psychology	WOS:000507993400009		
J	Lin, Shihong; Leppla, Idris E.; Yan, Haijuan; Probert, Julia M.; Randhawa, Privia A.; Leoutsakos, Jeannie-Marie S.; Probasco, John C.; Neufeld, Karin J.								Prevalence and Improvement of Caine-Positive Wernicke-Korsakoff Syndrome in Psychiatric Inpatient Admissions								PSYCHOSOMATICS				61	1			31	38		10.1016/j.psym.2019.08.002			JAN-FEB 2020	2020	Background: Wernicke-Korsakoff Syndrome (WKS) resulting from thiamine deficiency is classically defined as including encephalopathy, ataxia, and ophthalmoplegia. Only 16% of autopsy-confirmed patients with WKS exhibit all three signs. Caine positive WKS criteria include two or more of the following: nutritional deficiency, delirium or mild memory impairment, cerebellar dysfunctionlataxia, and oculomotor abnormalities. Objective: We describe Caine positive WKS prevalence among psychiatric inpatients and compare pretreatment-versusposttreatment neurocognitive improvement to an unaffected group. Methods: This 6-month quality-improvement evaluation included two-stage screening for Caine positiveWKS, administering high-dose intravenous thiamine (day 1: 1200 mg; days 2-4: 200 mg) with reexamination on day 5. We used descriptive statistics and fitted random effects models to examine rate-of-change differences in pre-/posttreatment Montreal Cognitive Assessment (MoCA), delayed 5-item recall, and gait/coordination scores between treated Caine positive patients with WKS and untreated Caine-negative patients. Results: Of 262 patients, 32 (12%) had Caine-positive WKS; 17 (53%) used alcohol currently. Treated Caine-positive WKS (n = 26) versus Caine-negative comparison (n = 34) before and after treatment observed a mean change (standard deviation) in the MoCA score of 3.6 (2.5) versus 1.8 (2.5) (P < 0.01); 5-item recall: 1.8 (1.4) versus 0.5 (1.4) (P < 0.001); gait/coordination scores: -0.6 (1.2) versus -0.1 (0.6) (P < 0.001). Oculomotor abnormalities were infrequent (n = 4 in Caine-positive WKS, n = 2 in Caine-negative comparison groups). Conclusions: Caine-positive WKS prevalence among psychiatric inpatients was 12%; only half used alcohol. Patients treated with high-dose thiamine demonstrated clinically significant neurocognitive improvement.		[Lin, Shihong; Leppla, Idris E.; Yan, Haijuan; Leoutsakos, Jeannie-Marie S.; Neufeld, Karin J.] Johns Hopkins Univ, Sch Med, Dept Psychiat & Behav Sci, Baltimore, MD 21205 USA; [Probasco, John C.] Johns Hopkins Univ, Sch Med, Dept Neurol, Baltimore, MD 21205 USA; [Lin, Shihong] Johns Hopkins Univ, Sch Educ, Clin Mental Hlth Counseling, Baltimore, MD USA; [Probert, Julia M.] NYU, Sch Med, New York, NY USA; [Randhawa, Privia A.] Univ British Columbia, Fac Med, Vancouver, BC, Canada; [Lin, Shihong] Johns Hopkins Univ, Sch Med, Johns Hopkins Bayview Med Ctr, Dept Psychiat & Behav Sci, A4Ctr,Suite 457,4940 Eastern Ave, Baltimore, MD 21224 USA								4							Psychiatry; Psychology	WOS:000507993400005		
J	Thesing, Carisha S.; Lamers, Femke; Bot, Mariska; Penninx, Brenda W. J. H.; Milaneschi, Yuri								Response to "International Society for Nutritional Psychiatry Research Practice Guidelines for Omega-3 Fatty Acids in the Treatment of Major Depressive Disorder" by Guu et al. (2019)								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	1			48	48		10.1159/000504100			JAN 2020	2020			[Thesing, Carisha S.; Lamers, Femke; Bot, Mariska; Penninx, Brenda W. J. H.; Milaneschi, Yuri] Vrije Univ Amsterdam, Amsterdam UMC, Dept Psychiat, Amsterdam Publ Hlth Res Inst, Amsterdam, Netherlands; [Thesing, Carisha S.] Vrije Univ Amsterdam, Amsterdam UMC, Dept Psychiat, Oldenaller 1, NL-1081 HJ Amsterdam, Netherlands								5							Psychiatry; Psychology	WOS:000507926000006		
J	Kohrman, Samuel I.; Rustad, James K.; Suhail-Sindhu, Timur; Fortney, Thomas A.; Ramkumar, Dipak B.; Warhold, Lance G.; Thakur, Devendra; Finn, Christine T.; Stern, Theodore A.								Self-inflicted Limb Amputation: A Case of Nonparaphilic, Nonpsychotic Xenomelia								PSYCHOSOMATICS				61	1			70	75		10.1016/j.psym.2019.03.004			JAN-FEB 2020	2020			[Kohrman, Samuel I.; Rustad, James K.; Suhail-Sindhu, Timur; Thakur, Devendra; Finn, Christine T.] Geisel Sch Med Dartmouth, Dept Psychiat, Lebanon, NH USA; [Fortney, Thomas A.; Ramkumar, Dipak B.; Warhold, Lance G.] Geisel Sch Med Dartmouth, Dept Orthoped Surg, Lebanon, NH USA; [Kohrman, Samuel I.; Suhail-Sindhu, Timur] Dartmouth Hitchcock Adult Psychiat Residency Prog, Lebanon, NH USA; [Rustad, James K.] White River Junction VA Med Ctr, Dept Mental Hlth & Behav Sci, White River Jct, VT USA; [Fortney, Thomas A.; Ramkumar, Dipak B.] Dartmouth Hitchcock Orthoped Surg Residency Progr, Lebanon, NH USA; [Suhail-Sindhu, Timur] Brown Univ, Dept Psychiat & Human Behav, Alpert Med Sch, Providence, RI 02912 USA; [Stern, Theodore A.] Harvard Med Sch, Massachusetts Gen Hosp, Dept Psychiat, Boston, MA 02115 USA; [Kohrman, Samuel I.] Dartmouth Hitchcock Med Ctr, Psychiat, One Med Ctr Dr, Lebanon, NH 03756 USA								1							Psychiatry; Psychology	WOS:000507993400010		
J	Parkin, Beth Louise								Real-World Applications in Cognitive Neuroscience Preface								Progress in Brain Research				253				XVII	XX					2020	2020			[Parkin, Beth Louise] Univ Westminster, Sch Social Sci, Dept Psychol, London, England; [Parkin, Beth Louise] Univ Westminster, Sch Social Sci, Dept Psychol, London, England								0							Neurosciences; Psychology	WOS:000613903600001		
