journal_name,journal_website,journal_scope,journal_article_types,COPE (T = member; F = not a member),"eligible (T = publishes empirical, F = no empirical)",primary_coder,secondary_coder,,preserve_journal_scope,preserve_article_types,additional_notes,,ISSN,eISSN,Web of Science Categories,WOS_first_psych_category
COGNITIVE PSYCHOLOGY,,,,,,,,,,,,,0010-0285,1095-5623,Psychology,Psychology
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,,,,,,,,,,,,,1056-263X,1573-3580,"Education, Special | Psychology, Development | Rehabilitation","Psychology, Development"
INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,,,,,,,,,,,,,1697-2600,1576-7329,"Psychology, Clinical","Psychology, Clinical"
MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,,,,,,,,,,,,,0272-930X,1535-0266,"Psychology, Development","Psychology, Development"
PSYCHOLOGICAL BULLETIN,,,,,,,,,,,,,0033-2909,1939-1455,Psychology,Psychology
JOURNAL OF EDUCATIONAL CULTURAL AND PSYCHOLOGICAL STUDIES,,,,,,,,,,,,,2037-7932,2037-7924,"Psychology, Educational","Psychology, Educational"
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,,,,,,,,,,,,,1010-0652,1664-2910,"Psychology, Educational","Psychology, Educational"
AMERICAN JOURNAL OF FAMILY THERAPY,,,,,,,,,,,,,0192-6187,1521-0383,"Psychology, Clinical | Family Studies","Psychology, Clinical"
WORK AGING AND RETIREMENT,,,,,,,,,,,,,2054-4642,2054-4650,"Industrial Relations & Labor | Psychology, Applied | Management","Psychology, Applied"
READING PSYCHOLOGY,,,,,,,,,,,,,0270-2711,1521-0685,"Psychology, Educational","Psychology, Educational"
TRANSLATIONAL ISSUES IN PSYCHOLOGICAL SCIENCE,,,,,,,,,,,,,2332-2136,2332-2179,"Psychology | Psychology, Multidisciplinary",Psychology | Psychology
BEHAVIOR MODIFICATION,,,,,,,,,,,,,0145-4455,1552-4167,"Psychology, Clinical","Psychology, Clinical"
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,,,,,,,,,,,,,1079-0632,1573-286X,"Psychology, Clinical | Criminology & Penology","Psychology, Clinical"
COGNITIVE NEUROPSYCHOLOGY,,,,,,,,,,,,,0264-3294,1464-0627,Psychology,Psychology
SOCIAL DEVELOPMENT,,,,,,,,,,,,,0961-205X,1467-9507,"Psychology, Development","Psychology, Development"
SA JOURNAL OF INDUSTRIAL PSYCHOLOGY,,,,,,,,,,,,,0258-5200,2071-0763,"Psychology, Applied","Psychology, Applied"
JOURNAL OF COMPARATIVE PSYCHOLOGY,,,,,,,,,,,,,0735-7036,1939-2087,Behavioral Sciences | Psychology | Zoology,Psychology | Zoology
ORGANISATIONAL AND SOCIAL DYNAMICS,,,,,,,,,,,,,1474-2780,2044-3765,"Psychology, Applied","Psychology, Applied"
CONSULTING PSYCHOLOGY JOURNAL-PRACTICE AND RESEARCH,,,,,,,,,,,,,1065-9293,1939-0149,"Psychology, Applied","Psychology, Applied"
JOURNAL OF EMDR PRACTICE AND RESEARCH,,,,,,,,,,,,,1933-3196,1933-320X,"Psychology, Clinical | Psychology","Psychology, Clinical"
APPLIED ERGONOMICS,,,,,,,,,,,,,0003-6870,1872-9126,"Ergonomics | Psychology, Applied","Psychology, Applied"
CLINICAL PSYCHOLOGIST,,,,,,,,,,,,,1328-4207,1742-9552,Psychology,Psychology
EDUCATIONAL PSYCHOLOGY REVIEW,,,,,,,,,,,,,1040-726X,1573-336X,"Psychology, Educational","Psychology, Educational"
JOURNAL OF BEHAVIORAL DECISION MAKING,,,,,,,,,,,,,0894-3257,1099-0771,"Psychology, Applied","Psychology, Applied"
PAPERS ON SOCIAL REPRESENTATIONS,,,,,,,,,,,,,1021-5573,1819-3978,"Psychology, Social","Psychology, Social"
PSYCHO-ONCOLOGY,,,,,,,,,,,,,1057-9249,1099-1611,Oncology | Psychology,Psychology
JOURNAL OF POSITIVE PSYCHOLOGY,,,,,,,,,,,,,1743-9760,1743-9779,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
PERSONALITY AND MENTAL HEALTH,,,,,,,,,,,,,1932-8621,1932-863X,"Psychiatry | Psychology, Social","Psychology, Social"
PERSONNEL PSYCHOLOGY,,,,,,,,,,,,,0031-5826,1744-6570,"Psychology, Applied | Management","Psychology, Applied"
INTERNATIONAL REVIEW OF SPORT AND EXERCISE PSYCHOLOGY,,,,,,,,,,,,,1750-984X,1750-9858,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied","Psychology, Applied"
JOURNAL OF CLINICAL PSYCHIATRY,,,,,,,,,,,,,0160-6689,1555-2101,"Psychiatry | Psychology, Clinical","Psychology, Clinical"
KULTURNO-ISTORICHESKAYA PSIKHOLOGIYA-CULTURAL-HISTORICAL PSYCHOLOGY,,,,,,,,,,,,,1816-5435,2224-8935,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
NEUROBIOLOGY OF LEARNING AND MEMORY,,,,,,,,,,,,,1074-7427,1095-9564,Behavioral Sciences | Neurosciences | Psychology,Psychology
JOURNAL OF HUMANISTIC COUNSELING,,,,,,,,,,,,,2159-0311,2161-1939,"Psychology, Applied","Psychology, Applied"
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,,,,,,,,,,,,,1018-8827,1435-165X,"Psychiatry | Psychology, Development","Psychology, Development"
FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,,1664-1078,1664-1078,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,,,,,,,,,,,,,0739-9863,1552-6364,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
ORGANIZATIONAL RESEARCH METHODS,,,,,,,,,,,,,1094-4281,1552-7425,"Psychology, Applied | Management","Psychology, Applied"
JOURNAL OF INTERPERSONAL VIOLENCE,,,,,,,,,,,,,0886-2605,1552-6518,"Criminology & Penology | Family Studies | Psychology, Applied","Psychology, Applied"
PSICOLOGIA CONOCIMIENTO Y SOCIEDAD,,,,,,,,,,,,,1688-7026,1688-7026,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
MUSIC PERCEPTION,,,,,,,,,,,,,0730-7829,1533-8312,"Psychology, Experimental","Psychology, Experimental"
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,,,,,,,,,,,,,0887-6177,1873-5843,Psychology,Psychology
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,,,,,,,,,,,,,0165-0254,1464-0651,"Psychology, Development","Psychology, Development"
EUROPES JOURNAL OF PSYCHOLOGY,,,,,,,,,,,,,1841-0413,1841-0413,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,,,,,,,,,,,,,0144-6657,2044-8260,"Psychology, Clinical","Psychology, Clinical"
JOURNAL OF SCHOOL VIOLENCE,,,,,,,,,,,,,1538-8220,1538-8239,"Criminology & Penology | Education & Educational Research | Psychology, Educational | Psychology, Development","Psychology, Educational"
EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT,,,,,,,,,,,,,1889-1861,1989-4007,"Law | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
BEHAVIOUR RESEARCH AND THERAPY,,,,,,,,,,,,,0005-7967,1873-622X,"Psychology, Clinical","Psychology, Clinical"
HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,,,,,,,,,,,,,0933-1719,1613-3722,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF SCHOOL PSYCHOLOGY,,,,,,,,,,,,,0022-4405,1873-3506,"Psychology, Educational","Psychology, Educational"
EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,,,,,,,,,,,,,0046-2772,1099-0992,"Psychology, Social","Psychology, Social"
NEUROPSYCHOLOGY,,,,,,,,,,,,,0894-4105,1931-1559,Neurosciences | Psychology,Psychology
SOCIAL BEHAVIOR AND PERSONALITY,,,,,,,,,,,,,0301-2212,1179-6391,"Psychology, Social","Psychology, Social"
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,,,,,,,,,,,,,0007-0998,2044-8279,"Psychology, Educational","Psychology, Educational"
JOURNAL OF OCCUPATIONAL THERAPY SCHOOLS AND EARLY INTERVENTION,,,,,,,,,,,,,1941-1243,1941-1251,"Psychology, Educational","Psychology, Educational"
PSYCHOLOGY OF RELIGION AND SPIRITUALITY,,,,,,,,,,,,,1941-1022,1943-1562,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
CHILD CARE HEALTH AND DEVELOPMENT,,,,,,,,,,,,,0305-1862,1365-2214,"Psychology, Development","Psychology, Development"
DYSLEXIA,,,,,,,,,,,,,1076-9242,1099-0909,"Education, Special | Psychology, Educational | Rehabilitation","Psychology, Educational"
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,,,,,,,,,,,,,0013-1644,1552-3888,"Psychology, Educational | Psychology, Mathematical","Psychology, Educational"
SOCIAL JUSTICE RESEARCH,,,,,,,,,,,,,0885-7466,1573-6725,"Psychology, Social | Sociology","Psychology, Social"
DEPRESSION AND ANXIETY,,,,,,,,,,,,,1091-4269,1520-6394,Psychiatry | Psychology,Psychology
JOURNAL OF APPLIED BEHAVIORAL SCIENCE,,,,,,,,,,,,,0021-8863,1552-6879,"Psychology, Applied | Management","Psychology, Applied"
APPLIED PSYCHOLOGICAL MEASUREMENT,,,,,,,,,,,,,0146-6216,1552-3497,"Social Sciences, Mathematical Methods | Psychology, Mathematical","Psychology, Mathematical"
PSYCHOLOGY OF CONSCIOUSNESS-THEORY RESEARCH AND PRACTICE,,,,,,,,,,,,,2326-5523,2326-5531,"Psychology, Experimental","Psychology, Experimental"
EMOTION,,,,,,,,,,,,,1528-3542,1931-1516,"Psychology, Experimental","Psychology, Experimental"
ASSESSMENT,,,,,,,,,,,,,1073-1911,1552-3489,"Psychology, Clinical","Psychology, Clinical"
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY,,,,,,,,,,,,,1548-5943,1548-5951,Psychology,Psychology
INTERNATIONAL JOURNAL OF AEROSPACE PSYCHOLOGY,,,,,,,,,,,,,2472-1832,2472-1840,"Psychology, Applied","Psychology, Applied"
JOURNAL OF CHILD SEXUAL ABUSE,,,,,,,,,,,,,1053-8712,1547-0679,"Psychology, Clinical | Family Studies","Psychology, Clinical"
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,,,,,,,,,,,,,0020-7284,1943-2836,"Psychology, Clinical","Psychology, Clinical"
PSYCHOLOGICA BELGICA,,,,,,,,,,,,,0033-2879,0033-2879,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,,,,,,,,,,,,,2000-8198,2000-8066,"Psychology, Clinical | Psychiatry","Psychology, Clinical"
COUNSELLING PSYCHOLOGY QUARTERLY,,,,,,,,,,,,,0951-5070,1469-3674,"Psychology, Applied","Psychology, Applied"
PSYCHOLOGY AND AGING,,,,,,,,,,,,,0882-7974,1939-1498,"Gerontology | Psychology, Development","Psychology, Development"
PSYCHOLOGICAL METHODS,,,,,,,,,,,,,1082-989X,1939-1463,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
CONTEMPORARY FAMILY THERAPY,,,,,,,,,,,,,0892-2764,1573-3335,"Psychology, Clinical","Psychology, Clinical"
FAMILY PROCESS,,,,,,,,,,,,,0014-7370,1545-5300,"Psychology, Clinical | Family Studies","Psychology, Clinical"
INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,,,,,,,,,,,,,0091-4150,1541-3535,"Gerontology | Psychology, Development","Psychology, Development"
NEW ZEALAND JOURNAL OF PSYCHOLOGY,,,,,,,,,,,,,0112-109X,1179-7924,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,,,,,,,,,,,,,0897-5264,1543-3382,"Education & Educational Research | Psychology, Applied","Psychology, Applied"
LEARNING & BEHAVIOR,,,,,,,,,,,,,1543-4494,1543-4508,"Psychology, Biological | Psychology, Experimental","Psychology, Biological"
AMERICAN BEHAVIORAL SCIENTIST,,,,,,,,,,,,,0002-7642,1552-3381,"Psychology, Clinical | Social Sciences, Interdisciplinary","Psychology, Clinical"
AUTISM,,,,,,,,,,,,,1362-3613,1461-7005,"Psychology, Development","Psychology, Development"
CLINICAL PSYCHOLOGY REVIEW,,,,,,,,,,,,,0272-7358,1873-7811,"Psychology, Clinical","Psychology, Clinical"
MUSICAE SCIENTIAE,,,,,,,,,,,,,1029-8649,2045-4147,"Psychology, Experimental","Psychology, Experimental"
JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,,,,,,,,,,,,,1355-6177,1469-7661,Clinical Neurology | Neurosciences | Psychiatry | Psychology,Psychology
MEDIA PSYCHOLOGY,,,,,,,,,,,,,1521-3269,1532-785X,"Communication | Psychology, Applied","Psychology, Applied"
JOURNAL OF COGNITIVE PSYCHOTHERAPY,,,,,,,,,,,,,0889-8391,1938-887X,"Psychology, Clinical","Psychology, Clinical"
PSYCHOLOGY OF WOMEN QUARTERLY,,,,,,,,,,,,,0361-6843,1471-6402,"Psychology, Multidisciplinary | Women'S Studies","Psychology, Multidisciplinary"
INFANT MENTAL HEALTH JOURNAL,,,,,,,,,,,,,0163-9641,1097-0355,"Psychology, Development","Psychology, Development"
MEDITERRANEAN JOURNAL OF CLINICAL PSYCHOLOGY,,,,,,,,,,,,,2282-1619,2282-1619,"Psychology, Clinical","Psychology, Clinical"
JOURNAL OF MATHEMATICAL PSYCHOLOGY,,,,,,,,,,,,,0022-2496,1096-0880,"Social Sciences, Mathematical Methods | Psychology, Mathematical","Psychology, Mathematical"
JOURNAL OF CHILD & ADOLESCENT TRAUMA,,,,,,,,,,,,,1936-1521,1936-153X,"Family Studies | Social Work | Psychology, Clinical","Psychology, Clinical"
RIVISTA INTERNAZIONALE DI FILOSOFIA E PSICOLOGIA,,,,,,,,,,,,,2039-4667,2239-2629,"Philosophy | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
CULTURE & PSYCHOLOGY,,,,,,,,,,,,,1354-067X,1461-7056,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF INDIVIDUAL DIFFERENCES,,,,,,,,,,,,,1614-0001,2151-2299,"Psychology, Social","Psychology, Social"
ANXIETY STRESS AND COPING,,,,,,,,,,,,,1061-5806,1477-2205,"Psychiatry | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
PSYCHOLOGIST-MANAGER JOURNAL,,,,,,,,,,,,,1088-7156,1550-3461,"Psychology, Applied","Psychology, Applied"
SPIRITUALITY IN CLINICAL PRACTICE,,,,,,,,,,,,,2326-4500,2326-4519,"Psychology, Clinical","Psychology, Clinical"
INTERNATIONAL JOURNAL OF APPLIED PSYCHOANALYTIC STUDIES,,,,,,,,,,,,,1742-3341,1556-9187,"Psychology, Psychoanalysis","Psychology, Psychoanalysis"
BEHAVIOR AND SOCIAL ISSUES,,,,,,,,,,,,,1064-9506,2376-6786,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF PSYCHOACTIVE DRUGS,,,,,,,,,,,,,0279-1072,2159-9777,"Psychology, Clinical | Substance Abuse","Psychology, Clinical"
EARLY CHILDHOOD RESEARCH QUARTERLY,,,,,,,,,,,,,0885-2006,1873-7706,"Education & Educational Research | Psychology, Development","Psychology, Development"
AUTISM IN ADULTHOOD,,,,,,,,,,,,,2573-9581,2573-959X,"Psychology, Development | Rehabilitation","Psychology, Development"
JOURNAL OF COGNITIVE PSYCHOLOGY,,,,,,,,,,,,,2044-5911,2044-592X,"Psychology, Experimental","Psychology, Experimental"
PSYCHOLOGY OF SEXUAL ORIENTATION AND GENDER DIVERSITY,,,,,,,,,,,,,2329-0382,2329-0390,Psychology,Psychology
DEVELOPMENTAL PSYCHOBIOLOGY,,,,,,,,,,,,,0012-1630,1098-2302,Developmental Biology | Psychology,Psychology
BEHAVIOR GENETICS,,,,,,,,,,,,,0001-8244,1573-3297,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF POETRY THERAPY,,,,,,,,,,,,,0889-3675,1567-2344,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
COUNSELING PSYCHOLOGIST,,,,,,,,,,,,,0011-0000,1552-3861,"Psychology, Applied","Psychology, Applied"
LEARNING AND MOTIVATION,,,,,,,,,,,,,0023-9690,1095-9122,"Psychology, Biological | Psychology, Experimental","Psychology, Biological"
INTERNATIONAL JOURNAL OF PSYCHOLOGICAL RESEARCH,,,,,,,,,,,,,2011-7922,2011-2084,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
FRONTIERS IN HUMAN NEUROSCIENCE,,,,,,,,,,,,,1662-5161,1662-5161,Neurosciences | Psychology,Psychology
HEALTH PSYCHOLOGY,,,,,,,,,,,,,0278-6133,1930-7810,Psychology,Psychology
ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,,,,,,,,,,,,,1616-3443,2190-6297,"Psychology, Clinical","Psychology, Clinical"
CHILD & FAMILY BEHAVIOR THERAPY,,,,,,,,,,,,,0731-7107,1545-228X,"Psychology, Clinical | Family Studies","Psychology, Clinical"
JOURNAL OF INTELLIGENCE,,,,,,,,,,,,,NA,2079-3200,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
PSYCHOLOGICAL REPORTS,,,,,,,,,,,,,0033-2941,1558-691X,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
COLLABRA-PSYCHOLOGY,,,,,,,,,,,,,2474-7394,2474-7394,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
DEVELOPMENTAL SCIENCE,,,,,,,,,,,,,1363-755X,1467-7687,"Psychology, Development | Psychology, Experimental","Psychology, Development"
NEW DIRECTIONS FOR CHILD AND ADOLESCENT DEVELOPMENT,,,,,,,,,,,,,1520-3247,1534-8687,"Psychology, Development | Sociology","Psychology, Development"
AGGRESSION AND VIOLENT BEHAVIOR,,,,,,,,,,,,,1359-1789,1873-6335,"Criminology & Penology | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF CREATIVE BEHAVIOR,,,,,,,,,,,,,0022-0175,2162-6057,"Psychology, Educational","Psychology, Educational"
EMPIRICAL STUDIES OF THE ARTS,,,,,,,,,,,,,0276-2374,1541-4493,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
PASTORAL PSYCHOLOGY,,,,,,,,,,,,,0031-2789,1573-6679,"Psychology, Multidisciplinary | Religion","Psychology, Multidisciplinary"
JOURNAL OF NEUROLINGUISTICS,,,,,,,,,,,,,0911-6044,1873-8052,"Linguistics | Psychology, Experimental","Psychology, Experimental"
JOURNAL OF COGNITION AND DEVELOPMENT,,,,,,,,,,,,,1524-8372,1532-7647,"Psychology, Development | Psychology, Experimental","Psychology, Development"
JOURNAL OF CLINICAL PSYCHOLOGY,,,,,,,,,,,,,0021-9762,1097-4679,"Psychology, Clinical","Psychology, Clinical"
CONSCIOUSNESS AND COGNITION,,,,,,,,,,,,,1053-8100,1090-2376,"Psychology, Experimental","Psychology, Experimental"
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,,,,,,,,,,,,,1533-7731,1533-7731,"Psychology, Clinical","Psychology, Clinical"
JOURNAL OF LGBTQ ISSUES IN COUNSELING,,,,,,,,,,,,,1553-8605,1553-8338,"Psychology, Applied","Psychology, Applied"
PSYCHOTHERAPY,,,,,,,,,,,,,0033-3204,1939-1536,"Psychology, Clinical","Psychology, Clinical"
LANGUAGE AND PSYCHOANALYSIS,,,,,,,,,,,,,2049-324X,2049-324X,"Psychology, Psychoanalysis","Psychology, Psychoanalysis"
REHABILITATION PSYCHOLOGY,,,,,,,,,,,,,0090-5550,1939-1544,"Psychology, Clinical | Rehabilitation","Psychology, Clinical"
ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY,,,,,,,,,,,,,1529-7489,1530-2415,"Social Issues | Psychology, Social","Psychology, Social"
DEVELOPMENTAL REVIEW,,,,,,,,,,,,,0273-2297,1090-2406,"Psychology, Development","Psychology, Development"
ARTS IN PSYCHOTHERAPY,,,,,,,,,,,,,0197-4556,1873-5878,"Psychology, Clinical | Rehabilitation","Psychology, Clinical"
INTERNATIONAL JOURNAL OF COGNITIVE THERAPY,,,,,,,,,,,,,1937-1209,1937-1217,"Psychology, Clinical | Psychiatry","Psychology, Clinical"
GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,,,,,,,,,,,,,1089-2699,1930-7802,"Psychology, Social","Psychology, Social"
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,,,,,,,,,,,,,0167-8760,1872-7697,Neurosciences | Physiology | Psychology,Psychology
CREATIVITY RESEARCH JOURNAL,,,,,,,,,,,,,1040-0419,1532-6934,"Psychology, Educational | Psychology, Multidisciplinary","Psychology, Educational"
SCHOOL PSYCHOLOGY,,,,,,,,,,,,,2578-4218,2578-4226,"Psychology, Educational","Psychology, Educational"
JOURNAL OF HUMANISTIC PSYCHOLOGY,,,,,,,,,,,,,0022-1678,1552-650X,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
SMALL GROUP RESEARCH,,,,,,,,,,,,,1046-4964,1552-8278,"Psychology, Applied | Management | Psychology, Social","Psychology, Applied"
REVIEW OF PHILOSOPHY AND PSYCHOLOGY,,,,,,,,,,,,,1878-5158,1878-5166,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,,0278-7393,1939-1285,Psychology,Psychology
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,,,,,,,,,,,,,0954-0121,1360-0451,"Health Policy & Services | Public, Environmental & Occupational Health | Psychology, Multidisciplinary | Social Sciences, Biomedical","Psychology, Multidisciplinary"
EVOLUTIONARY BEHAVIORAL SCIENCES,,,,,,,,,,,,,2330-2925,2330-2933,Behavioral Sciences | Psychology,Psychology
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,,,,,,,,,,,,,0749-5978,1095-9920,"Psychology, Applied | Management | Psychology, Social","Psychology, Applied"
GROUP & ORGANIZATION MANAGEMENT,,,,,,,,,,,,,1059-6011,1552-3993,"Psychology, Applied | Management","Psychology, Applied"
JOURNAL OF RATIONAL-EMOTIVE AND COGNITIVE-BEHAVIOR THERAPY,,,,,,,,,,,,,0894-9085,1573-6563,"Psychology, Clinical","Psychology, Clinical"
CANADIAN JOURNAL OF CAREER DEVELOPMENT,,,,,,,,,,,,,1499-1845,1499-1853,"Psychology, Applied","Psychology, Applied"
ARCHIVES OF SUICIDE RESEARCH,,,,,,,,,,,,,1381-1118,1543-6136,"Psychiatry | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF CONSUMER PSYCHOLOGY,,,,,,,,,,,,,1057-7408,1532-7663,"Business | Psychology, Applied","Psychology, Applied"
PSYCHOLOGICAL SCIENCE IN THE PUBLIC INTEREST,,,,,,,,,,,,,1529-1006,1539-6053,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
PSYCHOLOGY AND DEVELOPING SOCIETIES,,,,,,,,,,,,,0971-3336,0973-0761,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
INTERNATIONAL JOURNAL OF PLAY,,,,,,,,,,,,,2159-4937,2159-4953,"Education & Educational Research | Psychology, Multidisciplinary | Social Sciences, Interdisciplinary","Psychology, Multidisciplinary"
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,,,,,,,,,,,,,0021-9630,1469-7610,Psychiatry | Psychology,Psychology
HEALTH PSYCHOLOGY RESEARCH,,,,,,,,,,,,,2420-8124,2420-8124,"Psychology, Clinical","Psychology, Clinical"
PSYCHOANALYTIC PSYCHOTHERAPY,,,,,,,,,,,,,0266-8734,1474-9734,"Psychology, Psychoanalysis","Psychology, Psychoanalysis"
INTERNATIONAL JOURNAL FOR THE ADVANCEMENT OF COUNSELLING,,,,,,,,,,,,,0165-0653,1573-3246,"Psychology, Applied","Psychology, Applied"
PSYCHOLOGY OF VIOLENCE,,,,,,,,,,,,,2152-0828,2152-081X,"Psychology, Clinical | Criminology & Penology | Family Studies","Psychology, Clinical"
JOURNAL OF CAREER ASSESSMENT,,,,,,,,,,,,,1069-0727,1552-4590,"Psychology, Applied","Psychology, Applied"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,,,,,,,,,,,,,2329-8456,2329-8464,Behavioral Sciences | Psychology | Zoology,Psychology | Zoology
NEUROPSYCHOLOGIA,,,,,,,,,,,,,0028-3932,1873-3514,"Psychology, Experimental","Psychology, Experimental"
JOURNAL OF GAY & LESBIAN MENTAL HEALTH,,,,,,,,,,,,,1935-9705,1935-9713,"Psychology, Clinical | Psychiatry","Psychology, Clinical"
READING RESEARCH QUARTERLY,,,,,,,,,,,,,0034-0553,1936-2722,"Education & Educational Research | Psychology, Educational","Psychology, Educational"
INDIAN JOURNAL OF PSYCHOLOGICAL MEDICINE,,,,,,,,,,,,,0253-7176,0975-1564,Psychology,Psychology
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,,,,,,,,,,,,,1098-3007,1538-4772,"Psychology, Clinical | Education, Special","Psychology, Clinical"
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,,,,,,,,,,,,,0147-1767,1873-7552,"Psychology, Social | Social Sciences, Interdisciplinary | Sociology","Psychology, Social"
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,,,,,,,,,,0022-3514,1939-1315,"Psychology, Social","Psychology, Social"
LANGUAGE AND COGNITION,,,,,,,,,,,,,1866-9808,1866-9859,"Linguistics | Psychology, Experimental","Psychology, Experimental"
GIFTED CHILD QUARTERLY,,,,,,,,,,,,,0016-9862,1934-9041,"Education, Special | Psychology, Educational","Psychology, Educational"
REVISTA DE PSICOLOGIA DEL DEPORTE,,,,,,,,,,,,,1132-239X,1988-5636,"Psychology, Applied","Psychology, Applied"
JOURNAL OF PREVENTION & INTERVENTION IN THE COMMUNITY,,,,,,,,,,,,,1085-2352,1540-7330,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,,,,,,,,,,,,,0096-1523,1939-1277,Psychology,Psychology
JOURNAL OF COMMUNITY PSYCHOLOGY,,,,,,,,,,,,,0090-4392,1520-6629,"Public, Environmental & Occupational Health | Psychology, Multidisciplinary | Social Work","Psychology, Multidisciplinary"
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,,,,,,,,,,,,,0890-8567,1527-5418,"Psychiatry | Psychology, Development","Psychology, Development"
JOURNAL OF SEX & MARITAL THERAPY,,,,,,,,,,,,,0092-623X,1521-0715,"Psychology, Clinical | Family Studies","Psychology, Clinical"
CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,,,,,,,,,,,,,1063-3995,1099-0879,"Psychology, Clinical","Psychology, Clinical"
PSYCHONOMIC BULLETIN & REVIEW,,,,,,,,,,,,,1069-9384,1531-5320,"Psychology, Mathematical | Psychology, Experimental","Psychology, Mathematical"
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,,,,,,,,,,,,,2515-2459,2515-2467,Psychology,Psychology
SOCIAL INFLUENCE,,,,,,,,,,,,,1553-4510,1553-4529,"Psychology, Social","Psychology, Social"
