journal_name,journal_website,journal_scope,journal_article_types,COPE (T = member; F = not a member),"eligible (T = publishes empirical, F = no empirical)",primary_coder,secondary_coder,...9,preserve_journal_scope,preserve_article_types,additional_notes,...13,ISSN,eISSN,Total Citations,2021 JIF,JIF Quartile,2021 JCI,Category,WOS_first_psych_category
INTERNATIONAL REVIEW OF SPORT AND EXERCISE PSYCHOLOGY,https://www.tandfonline.com/journals/rirs20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rirs20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rirs20,TRUE,TRUE,AW,TEH,NA,https://osf.io/6qfpb,https://osf.io/d4kna,Publishes meta-analyses,NA,1750-984X,1750-9858,2048,7.423,Q1,2.48,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
JOURNAL OF COUNSELING PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022-0167,1939-2168,13343,5.088,Q1,1.64,"PSYCHOLOGY, APPLIED - SSCI; PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, APPLIED"
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1537-4416,1537-4424,8215,5.077,Q1,1.51,"PSYCHOLOGY, CLINICAL - SSCI; PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, CLINICAL"
WILEY INTERDISCIPLINARY REVIEWS-COGNITIVE SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939-5078,1939-5086,2215,5.071,Q1,0.8,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
ADOLESCENT RESEARCH REVIEW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2363-8346,2363-8354,611,5.052,Q1,1.01,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
EUROPEAN PSYCHOLOGIST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016-9040,1878-531X,2628,5,Q1,1.47,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
BRITISH JOURNAL OF PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0007-1269,2044-8295,6286,4.981,Q1,1.39,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
READING RESEARCH QUARTERLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0034-0553,1936-2722,3881,4.957,Q1,2.1,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1079-5014,1758-5368,15389,4.942,Q1,1.61,"PSYCHOLOGY - SCIE; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",PSYCHOLOGY - SCIE
DEVELOPMENTAL SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1363-755X,1467-7687,10601,4.939,Q1,1.43,"PSYCHOLOGY, DEVELOPMENTAL - SSCI; PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF EATING DISORDERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2050-2974,2050-2974,1899,4.916,Q1,0.9,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
ARCHIVES OF SEXUAL BEHAVIOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0004-0002,1573-2800,11474,4.891,Q1,1.65,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
AGGRESSION AND VIOLENT BEHAVIOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359-1789,1873-6335,7643,4.874,Q1,1.17,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
ANNALS OF BEHAVIORAL MEDICINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0883-6612,1532-4796,10072,4.871,Q1,1.62,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359-432X,1464-0643,5675,4.867,Q2,1,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071-5819,1095-9300,6726,4.866,Q1,1.2,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
CHILD ABUSE & NEGLECT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0145-2134,1873-7757,20006,4.863,Q1,1.72,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
POLITICAL PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0162-895X,1467-9221,7036,4.804,Q1,1.73,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
BEHAVIOR THERAPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0005-7894,1878-1888,8007,4.796,Q1,1.25,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
JOURNAL OF LOSS & TRAUMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532-5024,1532-5032,2106,4.775,Q1,1.06,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
BILINGUALISM-LANGUAGE AND COGNITION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1366-7289,1469-1841,4829,4.763,Q1,2.02,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF DIVERSITY IN HIGHER EDUCATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1938-8926,1938-8934,1605,4.762,Q1,1.4,"PSYCHOLOGY, EDUCATIONAL - SSCI; PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
CORTEX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0010-9452,1973-8102,15191,4.644,Q1,1.08,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
AUTISM RESEARCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939-3792,1939-3806,6859,4.633,Q1,1.28,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949-2715,1949-2723,2631,4.627,Q2,1.29,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PSYCHOLOGY OF SEXUAL ORIENTATION AND GENDER DIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2329-0382,2329-0390,2292,4.617,Q1,1.24,"PSYCHOLOGY - SCIE; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",PSYCHOLOGY - SCIE
REVIEW OF GENERAL PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089-2680,1939-1552,6585,4.615,Q1,1.19,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF APPLIED RESEARCH IN MEMORY AND COGNITION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2211-3681,2211-369X,1785,4.6,Q1,1.02,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
ADDICTIVE BEHAVIORS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0306-4603,1873-6327,19814,4.591,Q2,1.27,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PSYCHOSOCIAL INTERVENTION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132-0559,2173-4712,889,4.583,Q1,1.47,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0146-1672,1552-7433,23842,4.56,Q2,1.25,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
JOURNAL OF CONSUMER PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057-7408,1532-7663,8963,4.551,Q2,0.97,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
COGNITIVE SYSTEMS RESEARCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2214-4366,1389-0417,2101,4.541,Q1,1,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
SUICIDE AND LIFE-THREATENING BEHAVIOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0363-0234,1943-278X,6714,4.528,Q1,1.17,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF MEMORY AND LANGUAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0749-596X,1096-0821,12491,4.521,Q1,1.76,"PSYCHOLOGY - SCIE; PSYCHOLOGY, EXPERIMENTAL - SSCI",PSYCHOLOGY - SCIE
DEVELOPMENTAL PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0012-1649,1939-0599,29594,4.497,Q1,1.24,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF SEX RESEARCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022-4499,1559-8519,7692,4.453,Q2,1.79,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
TRANSGENDER HEALTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2688-4887,2380-193X,1203,4.427,Q2,0.99,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PSYCHONOMIC BULLETIN & REVIEW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069-9384,1531-5320,15865,4.412,Q1,1.13,"PSYCHOLOGY, EXPERIMENTAL - SSCI; PSYCHOLOGY, MATHEMATICAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
CLINICAL NEUROPSYCHOLOGIST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385-4046,1744-4144,6059,4.373,Q1,1.05,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1072-5245,1573-3424,2517,4.368,Q2,1.23,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1369-8478,1873-5517,9876,4.349,Q2,1.09,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOPHYSIOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0048-5772,1469-8986,18298,4.348,Q1,1.07,"PSYCHOLOGY - SCIE; PSYCHOLOGY, BIOLOGICAL - SSCI; PSYCHOLOGY, EXPERIMENTAL - SSCI",PSYCHOLOGY - SCIE
JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0162-3257,1573-3432,31891,4.345,Q2,1.21,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
DEATH STUDIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0748-1187,1091-7683,4698,4.34,Q1,1.26,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
FAMILY PROCESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0014-7370,1545-5300,4195,4.319,Q2,1.35,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0008-400X,1879-2669,2097,4.309,Q1,1.03,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGY OF WOMEN QUARTERLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0361-6843,1471-6402,5765,4.292,Q1,1.6,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF POSITIVE PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1743-9760,1743-9779,6032,4.29,Q1,1.19,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
GROUP & ORGANIZATION MANAGEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059-6011,1552-3993,3904,4.29,Q2,1.13,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
ASSESSMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073-1911,1552-3489,8283,4.282,Q2,1.35,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
CURRENT OPINION IN BEHAVIORAL SCIENCES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2352-1546,2352-1554,4875,4.261,Q1,0.7,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1749-5016,1749-5024,9730,4.235,Q1,1.04,"PSYCHOLOGY - SCIE; PSYCHOLOGY, EXPERIMENTAL - SSCI",PSYCHOLOGY - SCIE
FRONTIERS IN PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1664-1078,1664-1078,85507,4.232,Q1,1.03,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGY AND AGING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0882-7974,1939-1498,12803,4.201,Q2,1.08,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
INTERNATIONAL REVIEW OF SOCIAL PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2397-8570,2397-8570,500,4.2,Q2,0.9,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
SCIENTIFIC STUDIES OF READING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088-8438,1532-799X,3101,4.2,Q1,1.65,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0835-1813,1532-7973,2049,4.158,Q2,1.64,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
RESEARCH IN HUMAN DEVELOPMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1542-7609,1542-7617,1073,4.154,Q2,0.83,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
MOTIVATION AND EMOTION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0146-7239,1573-6644,6270,4.135,Q1,0.86,"PSYCHOLOGY, EXPERIMENTAL - SSCI; PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
PSYCHOTHERAPY RESEARCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050-3307,1468-4381,4360,4.117,Q2,1.16,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
CHILD AND ADOLESCENT MENTAL HEALTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475-357X,1475-3588,1723,4.111,Q2,0.7,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PSICOTHEMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0214-9915,1886-144X,4988,4.104,Q1,1.26,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0091-0627,1573-2835,11879,4.096,Q2,1.15,"PSYCHOLOGY, CLINICAL - SSCI; PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, CLINICAL"
JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY-REVISTA DE PSICOLOGIA DEL TRABAJO Y DE LAS ORGANIZACIONES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1576-5962,2174-0534,714,4.089,Q2,0.92,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
JOURNAL OF HAPPINESS STUDIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389-4978,1573-7780,8745,4.087,Q1,1.72,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612-197X,1557-251X,1851,4.048,Q2,1.1,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0893-164X,1939-1501,7153,4.044,Q2,1.14,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF MANAGERIAL PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0268-3946,1758-7778,5224,4.043,Q2,0.93,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
CULTURAL DIVERSITY & ETHNIC MINORITY PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099-9809,1939-0106,4682,4.035,Q2,1.46,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
JOURNAL OF NONVERBAL BEHAVIOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0191-5886,1573-3653,2174,4.019,Q2,0.89,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0091-0562,1573-2770,8773,4.019,Q2,1.2,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022-3980,1940-1019,5437,4.013,Q2,0.84,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
COGNITION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0010-0277,1873-7838,23585,4.011,Q1,1.19,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0144-6657,2044-8260,5113,3.984,Q2,1.1,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179-1578,1179-1578,2078,3.974,Q2,0.9,"PSYCHOLOGY, CLINICAL - SSCI; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, CLINICAL"
PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1476-0835,2044-8341,2127,3.966,Q2,0.97,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
PSYCHO-ONCOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057-9249,1099-1611,15773,3.955,Q2,0.89,"PSYCHOLOGY - SCIE; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",PSYCHOLOGY - SCIE
JOURNAL OF TRAUMATIC STRESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0894-9867,1573-6598,11328,3.952,Q2,0.9,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PERSONALITY AND INDIVIDUAL DIFFERENCES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0191-8869,1873-3549,42805,3.95,Q2,1.09,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
APPLIED ERGONOMICS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0003-6870,1872-9126,11555,3.94,Q2,1.04,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0046-2772,1099-0992,9586,3.93,Q2,1.1,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
COGNITIVE BEHAVIOUR THERAPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650-6073,1651-2316,2585,3.928,Q2,1.22,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
JOURNAL OF SUBSTANCE ABUSE TREATMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0740-5472,1873-6483,8277,3.917,Q2,1.08,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
MEDIA PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1521-3269,1532-785X,3130,3.912,Q2,3.49,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0095-2990,1097-9891,3878,3.912,Q2,0.81,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
LEARNING AND INDIVIDUAL DIFFERENCES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041-6080,1873-3425,7545,3.897,Q1,1.21,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
HUMAN RESOURCE DEVELOPMENT QUARTERLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044-8004,1532-1096,2031,3.891,Q2,1.08,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
JOURNAL OF RESEARCH IN PERSONALITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0092-6566,1095-7251,12173,3.886,Q2,1.01,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
COUNSELING PSYCHOLOGIST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0011-0000,1552-3861,4673,3.88,Q2,0.98,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
LAW AND HUMAN BEHAVIOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0147-7307,1573-661X,4127,3.87,Q2,2.44,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
PSYCHOSOMATIC MEDICINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0033-3174,1534-7796,14621,3.864,Q2,0.99,"PSYCHOLOGY - SCIE; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",PSYCHOLOGY - SCIE
EARLY CHILDHOOD RESEARCH QUARTERLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0885-2006,1873-7706,6917,3.815,Q2,1.81,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
ANXIETY STRESS AND COPING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061-5806,1477-2205,3798,3.813,Q2,0.88,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
SEX ROLES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0360-0025,1573-2762,12443,3.812,Q2,1.46,"PSYCHOLOGY, DEVELOPMENTAL - SSCI; PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
MINDFULNESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868-8527,1868-8535,7297,3.801,Q2,0.98,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,1751-9004,6333,3.798,Q2,0.93,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
JOURNAL OF HEALTH PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359-1053,1461-7277,8948,3.789,Q2,0.95,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
