"Anything additional, unusual, or interesting to note?",Timestamp,Coder's Initials,Journal Name,Does the journal publish empirical research?,Check the article types page and check for web comments — does the journal offer any type of PPC?,A. Enter the name of the PPC type offered by the journal:,A. Enter the verbatim description of this type of PPC provided by the journal,A. Are there any length limits for this type of PPC?,A. Are there any time limits for submission of this type of PPC?,A. Are there any reference limits for this type of PPC?,A. Is this type of PPC sent for independent external peer review?,"A. Anything additional, unusual, or interesting to note?",A. Are there any other types of PPC in this journal? (Remember to check for web comments!),B. Enter the name of the PPC type offered by the journal:,B. Enter the verbatim description of this type of PPC provided by the journal,B. Are there any length limits for this type of PPC?,B. Are there any time limits for submission of this type of PPC?,B. Are there any reference limits for this type of PPC?,B. Is this type of PPC sent for independent external peer review?,"B. Anything additional, unusual, or interesting to note?",B. Are there any other types of PPC in this journal? (Remember to check for web comments!),C. Enter the name of the PPC type offered by the journal:,C. Enter the verbatim description of this type of PPC provided by the journal,C. Are there any length limits for this type of PPC?,C. Are there any time limits for submission of this type of PPC?,C. Are there any reference limits for this type of PPC?,C. Is this type of PPC sent for independent external peer review?,"C. Anything additional, unusual, or interesting to note?",C. Are there any other types of PPC in this journal? (Remember to check for web comments!),D. Enter the name of the PPC type offered by the journal:,D. Enter the verbatim description of this type of PPC provided by the journal,D. Are there any length limits for this type of PPC?,D. Are there any time limits for submission of this type of PPC?,D. Are there any reference limits for this type of PPC?,D. Is this type of PPC sent for independent external peer review?,"D. Anything additional, unusual, or interesting to note?",...38,...39,...40,...41,...42,...43,...44,...45,sample_id,cope,field,jif
NA,8/6/2023 5:40:06,RTT,EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,FALSE,"PSYCHOLOGY, MULTIDISCIPLINARY",9.85
NA,NA,FINAL (TEH),EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,FALSE,"PSYCHOLOGY, MULTIDISCIPLINARY",9.85
NA,6/30/2023 18:22:55,AW,EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,Yes,YES,Letters to the Editor,"""...that comment on published articles or research letters. The latter should have the same structure as a research article but are short and concise""

From Scope statement: ""The journal welcomes... letters to the Editor debating articles already published in the Journal""","YES (copy and paste the limits in the 'other' section below), 1000 words",NOT STATED,NOT STATED,NOT STATED,"""One table or figure may be included.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",5.783
NA,8/31/2023 10:21:53,SV,EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,Yes,YES,Letters to the editor,Letters to the Editor that comment on published articles or research letters. The latter should have the same structure as a research article but are short and concise (max 1000 words). One table or figure may be included.,"YES (copy and paste the limits in the 'other' section below), max 1000 words",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",5.783
NA,NA,FINAL (TEH),EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,Yes,YES,Letters to the Editor,"""...that comment on published articles or research letters. The latter should have the same structure as a research article but are short and concise""

From Scope statement: ""The journal welcomes... letters to the Editor debating articles already published in the Journal""","YES (copy and paste the limits in the 'other' section below), 1000 words",NOT STATED,NOT STATED,NOT STATED,"""One table or figure may be included.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",5.783
NA,6/30/2023 21:09:05,AW,EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, SOCIAL",5.652
They are a review journal. The only type of empirical work they accept is meta-analyses (which meets our criteria).,8/6/2023 7:29:52,RTT,EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, SOCIAL",5.652
NA,NA,FINAL (TEH),EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, SOCIAL",5.652
NA,7/1/2023 14:04:37,AW,EVOLUTION AND HUMAN BEHAVIOR,Yes,YES,Commentaries,"These are short papers in response to articles-typically articles published in EHB-and if accepted, will typically be published along with the original authors' reply.",NOT STATED,NOT STATED,NOT STATED,"UNCLEAR (provide detail in the 'other' section below), General statement on peer review: ""Any such submission is subject to all of the journal's usual procedures, with peer review handled independently of the relevant editor and their research groups.""",NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, BIOLOGICAL",5.327
NA,7/28/2023 10:57:54,TEH,EVOLUTION AND HUMAN BEHAVIOR,Yes,YES,Commentaries,"These are short papers in response to articles-typically articles published in EHB-and if accepted, will typically be published along with the original authors' reply.","YES (copy and paste the limits in the 'other' section below), ""short""",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, BIOLOGICAL",5.327
NA,NA,FINAL (TEH),EVOLUTION AND HUMAN BEHAVIOR,Yes,YES,Commentaries,"These are short papers in response to articles-typically articles published in EHB-and if accepted, will typically be published along with the original authors' reply.","YES (copy and paste the limits in the 'other' section below), ""short""",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, BIOLOGICAL",5.327
NA,6/30/2023 17:53:27,AW,FEMINISM & PSYCHOLOGY,Yes,YES,Observations & Commentaries,"The Observations & Commentaries section provides an opportunity for scholars to reflect on a particular issue, comment on others’ work, or discuss theory or research processes.","YES (copy and paste the limits in the 'other' section below), between 500 and 2000 words",NOT STATED,NOT STATED,NOT STATED,Archive search for this article type did not produce any apparent PPC examples.,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",5.833
NA,7/28/2023 11:04:13,TEH,FEMINISM & PSYCHOLOGY,Yes,YES,Observations & Commentaries,"The Observations & Commentaries section provides an opportunity for scholars to reflect on a particular issue, comment on others’ work, or discuss theory or research processes.","YES (copy and paste the limits in the 'other' section below), 2000",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",5.833
NA,NA,FINAL (TEH),FEMINISM & PSYCHOLOGY,Yes,YES,Observations & Commentaries,"The Observations & Commentaries section provides an opportunity for scholars to reflect on a particular issue, comment on others’ work, or discuss theory or research processes.","YES (copy and paste the limits in the 'other' section below), 2000",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",5.833
NA,7/1/2023 11:22:22,AW,HEALTH PSYCHOLOGY,Yes,YES,Letters to the editor,"Selected letters to the editor are published online, on the journal’s website. Submit letters to the editor by email to Lindsay MacMurray with a cover letter disclosing any potential conflicts of interest. If the letter is accepted, the target article’s authors may be invited to respond",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,FALSE,PSYCHOLOGY - SCIE,5.556
NA,8/31/2023 10:34:04,SV,HEALTH PSYCHOLOGY,Yes,YES,Letters to the editor,"Letters to the editor
Selected letters to the editor are published online, on the journal’s website. Submit letters to the editor by email to Lindsay MacMurray with a cover letter disclosing any potential conflicts of interest. If the letter is accepted, the target article’s authors may be invited to respond.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,FALSE,PSYCHOLOGY - SCIE,5.556
NA,NA,FINAL (TEH),HEALTH PSYCHOLOGY,Yes,YES,Letters to the editor,"Letters to the editor
Selected letters to the editor are published online, on the journal’s website. Submit letters to the editor by email to Lindsay MacMurray with a cover letter disclosing any potential conflicts of interest. If the letter is accepted, the target article’s authors may be invited to respond.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,FALSE,PSYCHOLOGY - SCIE,5.556
NA,6/26/2023 16:49:45,AW,HEALTH PSYCHOLOGY REVIEW,Yes,YES,Comments,"From scope statement: ""comments that apply to existing theoretical models and approaches, and discussions about previously published articles, can also be considered."" no guidelines available",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Acceptance of PPC only stated in scope, no detailed guidelines given.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",9.638
NA,8/31/2023 10:25:12,SV,HEALTH PSYCHOLOGY REVIEW,Yes,YES,No name given,"""Brief commentaries addressing progress in specific sub-fields of health psychology, comments that apply to existing theoretical models and approaches, and discussions about previously published articles, can also be considered.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,Not sure if this should count,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very hard to find, but buried in the aims & scope: ""Brief commentaries addressing progress in specific sub-fields of health psychology, comments that apply to existing theoretical models and approaches, and discussions about previously published articles, can also be considered.""",NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",9.638
NA,NA,FINAL (TEH),HEALTH PSYCHOLOGY REVIEW,Yes,YES,Comments,"From scope statement: ""comments that apply to existing theoretical models and approaches, and discussions about previously published articles, can also be considered."" no guidelines available",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Acceptance of PPC only stated in scope, no detailed guidelines given.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",9.638
NA,6/30/2023 20:47:17,AW,HUMAN DEVELOPMENT,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, DEVELOPMENTAL",5.708
NA,NA,FINAL (TEH),HUMAN DEVELOPMENT,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, DEVELOPMENTAL",5.708
NA,6/30/2023 14:38:41,AW,HUMAN RESOURCE MANAGEMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",6.235
NA,8/6/2023 7:04:49,RTT,HUMAN RESOURCE MANAGEMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",6.235
NA,NA,FINAL (TEH),HUMAN RESOURCE MANAGEMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",6.235
NA,6/26/2023 17:14:44,AW,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY-PERSPECTIVES ON SCIENCE AND PRACTICE,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, APPLIED",9.375
NA,7/6/2023 11:21:33,AW,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY-PERSPECTIVES ON SCIENCE AND PRACTICE,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, APPLIED",9.375
NA,NA,FINAL (TEH),INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY-PERSPECTIVES ON SCIENCE AND PRACTICE,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,TRUE,"PSYCHOLOGY, APPLIED",9.375
NA,6/30/2023 16:49:16,AW,INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",5.9
NA,8/31/2023 10:55:56,SV,INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",5.9
NA,8/31/2023 10:55:56,FINAL (TEH),INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",5.9
"""Unsolicited commentaries are not considered for publication.""

""Perspective
A Perspective comments on an Original Article, Brief Report, or Systematic Review (including meta-analyses) manuscript published in the IJED.... should be viewed as an opportunity to develop the ideas and potential of the work reported, rather than a critique of the paper.""",6/30/2023 18:08:54,AW,INTERNATIONAL JOURNAL OF EATING DISORDERS,Yes,NO (explicit statement that PPC is not accepted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,5.791
NA,8/31/2023 11:32:04,SV,INTERNATIONAL JOURNAL OF EATING DISORDERS,Yes,YES,Perspective,"Opinion-led comment on an Original Article, Brief Report, or Systematic Review article published in the IJED Early View in the three months before submission of the Perspective manuscript. 

WORD LIMIT EXCLUDING ABSTRACT, REFERENCES, TABLES, OR FIGURES: 750
No abstract
≤ 5 references 
[...]

A Perspective comments on an Original Article, Brief Report, or Systematic Review (including meta-analyses) manuscript published in the IJED. The Perspective must focus on a manuscript that has been published in Early View within three months before submission of the Perspective manuscript. Submissions not meeting these requirements are rejected without review. 

A Perspective expands upon the published research by offering additional context, interpretation, or suggestions regarding the potential application of the research for advancing science and practice in eating disorders. Perspective manuscripts may not merely summarize the published research, nor are they intended to primarily discuss the author’s own work. Because the Original Research, Brief Report, or Systematic Review paper has already been peer reviewed, the Perspective manuscript should be viewed as an opportunity to develop the ideas and potential of the work reported, rather than a critique of the paper. Indeed, only submissions that add a new dimension to the published research will be considered suitable for publication. 

Perspective articles should provide a personal viewpoint and, as such, authorship should be limited to one or two authors. We recognize various forms of expertise, including research expertise, clinical expertise, expertise by lived experience (e.g., individuals impacted by an eating disorder), policy expertise, or expertise in a scholarly field distinct from eating and weight disorders. When submitting a Perspective, authors are requested to specify in their Cover Letter their primary expertise as pertaining to the Perspective submission.","YES (copy and paste the limits in the 'other' section below), WORD LIMIT EXCLUDING ABSTRACT, REFERENCES, TABLES, OR FIGURES: 750","YES (provide detail of time limits below), published in the IJED Early View in the three months before submission of the Perspective manuscript.","YES (provide number of references below), ≤ 5 references",NOT STATED,"This should probably not count as PPC because: ""Because the Original Research, Brief Report, or Systematic Review paper has already been peer reviewed, the Perspective manuscript should be viewed as an opportunity to develop the ideas and potential of the work reported, rather than a critique of the paper. Indeed, only submissions that add a new dimension to the published research will be considered suitable for publication.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,5.791
NA,NA,FINAL (TEH),INTERNATIONAL JOURNAL OF EATING DISORDERS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,5.791
"Only article type information available is names: ""Papers should be submitted under one of the following categories:

Letters to the Editor; Regular articles; Review Articles; Letters of law; Brief reports; Clinical case studies; Commentaries; Book reviews; News updates (research, education and clinical).""",6/14/2023 11:36:36,AW,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Yes,YES,Letters to the Editor,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,PPC Example: https://link.springer.com/article/10.1007/s11469-020-00295-z,YES (opens another page),Commentary,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,Recent PPC Example: https://link.springer.com/article/10.1007/s11469-021-00642-8,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",11.555
NA,7/28/2023 10:27:18,TEH,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Yes,YES,Letters to the Editor,No description,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",11.555
NA,NA,FINAL (TEH),INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Yes,YES,Letters to the Editor,No description,NOT STATED,NOT STATED,NOT STATED,NOT STATED,PPC Example: https://link.springer.com/article/10.1007/s11469-020-00295-z,YES (opens another page),Commentary,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,Recent PPC Example: https://link.springer.com/article/10.1007/s11469-021-00642-8,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",11.555
NA,6/26/2023 17:53:05,AW,INTERNATIONAL JOURNAL OF TRANSGENDERISM,Yes,YES,Letters to the editor,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Scope states they publish ""Letters to the editor"", article types page does not give further information on this. Archive search filtered by ""Letter"" returned 8 results, most recent PPC example from 2016.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",8.606
"The instructions for authors (https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wijt21#article-types) don't state any PPC, but the Aims and Scope do (https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=wijt21).",8/6/2023 7:02:23,RTT,INTERNATIONAL JOURNAL OF TRANSGENDERISM,Yes,YES,Letters to the editor,[none provided],NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",8.606
NA,NA,FINAL (TEH),INTERNATIONAL JOURNAL OF TRANSGENDERISM,Yes,YES,Letters to the editor,[none provided],NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, CLINICAL",8.606
NA,6/29/2023 21:28:39,AW,INTERNATIONAL PSYCHOGERIATRICS,Yes,YES,Letters to the Editor,"Reader's letters will be considered for publication. Letters should be no longer than 750 words, with no more than 1 table or figure, and no more than 10 references. No abstract is required.","YES (copy and paste the limits in the 'other' section below), 750 words",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,7.191
NA,7/28/2023 10:33:13,TEH,INTERNATIONAL PSYCHOGERIATRICS,Yes,YES,Letters to the Editor.,"Reader's letters will be considered for publication. Letters should be no longer than 750 words, with no more than 1 table or figure, and no more than 10 references. No abstract is required.","YES (copy and paste the limits in the 'other' section below), 750 words",NOT STATED,"YES (provide number of references below), 10",YES,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,7.191
NA,NA,FINAL (TEH),INTERNATIONAL PSYCHOGERIATRICS,Yes,YES,Letters to the Editor.,"Reader's letters will be considered for publication. Letters should be no longer than 750 words, with no more than 1 table or figure, and no more than 10 references. No abstract is required.","YES (copy and paste the limits in the 'other' section below), 750 words",NOT STATED,"YES (provide number of references below), 10",YES,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,7.191
NA,6/29/2023 20:02:22,AW,INTERNATIONAL REVIEW OF SPORT AND EXERCISE PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",7.423
NA,7/28/2023 11:31:08,TEH,INTERNATIONAL REVIEW OF SPORT AND EXERCISE PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",7.423
NA,NA,FINAL (TEH),INTERNATIONAL REVIEW OF SPORT AND EXERCISE PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, APPLIED",7.423
