article id,primary coder initials,secondary coder initials,doi,link,title,authors,journal,publication_year,1_exclusion,1_exclusionReason,1_Is article linked to PPC,1_Additional notes,2_exclusion,2_exclusionReason,2_Is article linked to PPC,2_Additional notes,sample_id,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30
116,AW,BC,10.1002/cad.20367,https://dx.doi.org/10.1002/cad.20367,Sector-wide analysis of early childhood development and education in emergencies in Colombia and considerations to strengthen systems globally,"Ponguta, Liliana Angelica; Aragon, Carlos Andres; Varela, Lucero Ramirez; Moore, Kathryn; Hein, Sascha; Cerezo, Adrian",New Directions for Child and Adolescent Development,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,AW,BC,10.1080/10474412.2020.1777873,https://dx.doi.org/10.1080/10474412.2020.1777873,Disproportionality in School Discipline and Juvenile Justice Systems: The Past and Future Role of Psychological Consultation to Promote Equity,"Sander, Janay B.; Bibbs, Deidra L.",JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,commentary/ review,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,AW,BC,10.1080/20008198.2020.1748460,https://dx.doi.org/10.1080/20008198.2020.1748460,The influence of depression-PTSD comorbidity on health-related quality of life in treatment-seeking veterans,"Forchuk, Callista; Nazarov, Anthony; Hunt, Renee; Davis, Brent; St Cyr, Kate; Richardson, J. Don",EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,AW,BC,10.1016/j.cortex.2020.02.022,https://dx.doi.org/10.1016/j.cortex.2020.02.022,Familiarity for entities as a sensitive marker of antero-lateral entorhinal atrophy in amnestic mild cognitive impairment,"Besson, Gabriel; Simon, Jessica; Salmon, Eric; Bastin, Christine",CORTEX,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,could not find journal webpage. Accessed via science direct,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,AW,BC,10.1037/mot0000160,https://dx.doi.org/10.1037/mot0000160,Implicit Theories of Interest Regulation,"Thoman, Dustin B.; Sansone, Carol; Robinson, Jennifer A.; Helm, Jonathan L.",MOTIVATION SCIENCE,2020,RETAIN,NA,NO,RESOLVED## UNSURE; only accessible through OVID (not journal site):  https://ovidsp.dc1.ovid.com/ovid-b/ovidweb.cgi?&S=ELJBFPKPANACKFKLKPLJBGPKJKPIAA00&Link+Set=S.sh.41%7c1%7csl_10&Counter5=SS_view_found_article%7c01857016-202012000-00002%7covft%7covftdb%7covftw&Counter5Data=01857016-202012000-00002%7covft%7covftdb%7covftw,EXCLUDE,NOT EMPIRICAL,NA,also apa journal - couldnt access full text,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,AW,BC,10.3389/fpsyg.2020.584473,https://dx.doi.org/10.3389/fpsyg.2020.584473,Determinants of the Financial Contribution to the NHS: The Case of the COVID-19 Emergency in Italy,"Castiglioni, Cinzia; Lozza, Edoardo",FRONTIERS IN PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,AW,BC,10.1007/s10964-020-01231-z,https://dx.doi.org/10.1007/s10964-020-01231-z,"Family Context and Adolescent Risky Sexual Behavior: an Examination of the Influence of Family Structure, Family Transitions and Parenting","Steele, Megan E.; Simons, Leslie Gordon; Sutton, Tara E.; Gibbons, Frederick X.",JOURNAL OF YOUTH AND ADOLESCENCE,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,AW,BC,10.1002/imhj.21847,https://dx.doi.org/10.1002/imhj.21847,Expulsion prevention: Framework for the role of infant and early childhood mental health consultation in addressing implicit biases,"Davis, Annie E.; Perry, Deborah F.; Rabinovitz, Lauren",INFANT MENTAL HEALTH JOURNAL,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,theory article,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,AW,BC,NA,https://dx.doi.org/NA,Efficacy of an evidence-based literacy intervention for Spanish speaking struggling readers from vulnerable socio-economic status,"Balbi, Alejandra; von Hagen, Alexa; Jimenez, Juan E.; Cuadro, Ariel",ELECTRONIC JOURNAL OF RESEARCH IN EDUCATIONAL PSYCHOLOGY,2020,EXCLUDE,NO ACCESS,NA,RESOLVED## UNSURE; Full text only available via PDF (English available).,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,AW,BC,10.1177/1550059420918756,https://dx.doi.org/10.1177/1550059420918756,Quantitative EEG Findings in Patients With Psychogenic Nonepileptic Seizures,"Arikan, Kemal; Oksuz, Ozden; Metin, Baris; Gunver, Guven; Cetin, Hamide Lacin; Esmeray, Taha; Tarhan, Nevzat",CLINICAL EEG AND NEUROSCIENCE,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,AW,BC,10.1016/j.nlm.2020.107271,https://dx.doi.org/10.1016/j.nlm.2020.107271,Hippocampal and anterior cingulate cortex contribution to the processing of recently-acquired and remotely stored spatial memories in rats trained during preadolescence,"Tzakis, Nikolaos; Bosnic, Tim; Holahan, Matthew R.",NEUROBIOLOGY OF LEARNING AND MEMORY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,AW,BC,10.1002/pon.5333,https://dx.doi.org/10.1002/pon.5333,Symptoms of prolonged grief and major depressive disorders: Distinctiveness and temporal relationship in the first 2 years of bereavement for family caregivers of terminally ill cancer patients,"Tsai, Wei-, I; Wen, Fur-Hsing; Kuo, Su-Ching; Prigerson, Holly G.; Chou, Wen-Chi; Shen, Wen-Chi; Tang, Siew Tzuh",PSYCHO-ONCOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,AW,BC,10.1016/j.cognition.2020.104270,https://dx.doi.org/10.1016/j.cognition.2020.104270,Why are social interactions found quickly in visual search tasks?,"Vestner, Tim; Gray, Katie L. H.; Cook, Richard",COGNITION,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,AW,BC,10.1016/j.physbeh.2020.112972,https://dx.doi.org/10.1016/j.physbeh.2020.112972,Running power meters and theoretical models based on laws of physics: Effects of environments and running conditions,"Cerezuela-Espejo, Victor; Hernandez-Belmonte, Alejandro; Courel-Ibanez, Javier; Conesa-Ros, Elena; Martinez-Cava, Alejandro; Pallares, Jesus G.",PHYSIOLOGY & BEHAVIOR,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,AW,BC,10.1002/capr.12296,https://dx.doi.org/10.1002/capr.12296,Integrating clients' moment-to-moment ratings into psychotherapy research: A novel approach,"Penix, Elizabeth A.; Swift, Joshua K.; Trusty, Wilson T.",COUNSELLING & PSYCHOTHERAPY RESEARCH,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,includes a case example (so technically one data point),random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,AW,BC,10.1080/00223891.2020.1743709,https://dx.doi.org/10.1080/00223891.2020.1743709,BIS and BAS Sensitivities at Different Levels of Personality Description: A Latent-Variable Approach with Self- and Informant-Ratings,"Vecchione, Michele; Ghezzi, Valerio; Alessandri, Guido; Dentale, Francesco; Corr, Philip J.",JOURNAL OF PERSONALITY ASSESSMENT,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,AW,BC,10.3758/s13414-020-02119-7,https://dx.doi.org/10.3758/s13414-020-02119-7,Proprioceptive drift is affected by the intermanual distance rather than the distance from the body's midline in the rubber hand illusion,"Erro, Roberto; Marotta, Angela; Fiorio, Mirta",ATTENTION PERCEPTION & PSYCHOPHYSICS,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,AW,BC,10.1080/00223891.2020.1813147,https://dx.doi.org/10.1080/00223891.2020.1813147,Examining the Factor Structure and Validity of the Multidimensional Assessment of Interoceptive Awareness,"Ferentzi, Eszter; Olaru, Gabriel; Geiger, Mattis; Vig, Luca; Koteles, Ferenc; Wilhelm, Oliver",JOURNAL OF PERSONALITY ASSESSMENT,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NM,TEH,10.1016/j.jaac.2019.08.473,#NAME?,Homophobic Bullying and Suicidal Behavior Among US Heterosexual Youth,"Parent, Mike C.; Johnson, Karen E.; Russell, Stephen; Gobble, Teresa",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,"The article is a ""letter to the editor""; however, it reports original research and does not meet our definition of PPC.",prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NM,TEH,10.1016/j.jaac.2020.07.751,#NAME?,NONADHERENCE WITH MENTAL HEALTH TREATMENT AND METABOLIC MONITORING IN YOUTH TREATED WITH SECOND-GENERATION ANTIPSYCHOTICS,"Fornari, Victor",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,NA,EXCLUDE,OTHER,NA,"This is a presentation from a symposium, so I'm interpreting it as a secondary reporting of empirical data, and not empirical data, though I might have excluded this article incorrectly",EXCLUDE,OTHER,NA,Conference abstract,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NM,TEH,10.1111/cdev.13409,#NAME?,Explaining Individual Differences in Trajectories of Simultaneous Bilingual Development: Contributions of Child and Environmental Factors,"Lauro, Justin; Core, Cynthia; Hoff, Erika",CHILD DEVELOPMENT,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NM,TEH,10.1007/s00787-020-01510-x,#NAME?,"The forest, the trees, and the leaves in preterm children: the impact of prematurity on a visual search task containing three-level hierarchical stimuli","Datin-Dorriere, Valerie; Borst, Gregoire; Guillois, Bernard; Cachia, Arnaud; Poirel, Nicolas",EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NM,TEH,10.1016/j.chb.2020.106478,#NAME?,"How the use of Cc, Bcc, forward, and rewrite in email communication impacts team dynamics","Haesevoets, Tessa; De Cremer, David; McGuire, Jack",COMPUTERS IN HUMAN BEHAVIOR,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NM,TEH,10.1017/S0033291719000874,#NAME?,"Maternal half-sibling families with discordant fathers: a contrastive design assessing cross-generational paternal genetic transmission of alcohol use disorder, drug abuse and major depression","Kendler, Kenneth S.; Ohlsson, Henrik; Sundquist, Jan; Sundquist, Kristina",PSYCHOLOGICAL MEDICINE,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NM,TEH,10.1007/s11469-018-9934-4,#NAME?,The Methamphetamine-Associated Psychosis Spectrum: a Clinically Focused Review,"Arunogiri, Shalini; McKetin, Rebecca; Verdejo-Garcia, Antonio; Lubman, Dan I.",INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NM,TEH,10.1111/apps.12187,#NAME?,"The Interplay of Low Identification, Psychological Detachment, and Cynicism for Predicting Counterproductive Work Behaviour","Tong, Jiajin; Chong, SinHui; Chen, Jiayu; Johnson, Russell E.; Ren, Xiaopeng",APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NM,TEH,10.1016/j.chb.2020.106473,#NAME?,Using virtual reality to induce gratitude through virtual social interaction,"Collange, Julie; Guegan, Jerome",COMPUTERS IN HUMAN BEHAVIOR,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NM,TEH,10.1177/1362361320913664,#NAME?,Interventions to address health outcomes among autistic adults: A systematic review,"Benevides, Teal W.; Shore, Stephen M.; Andresen, May-Lynn; Caplan, Reid; Cook, Barb; Gassner, Dena L.; Erves, Jasmine M.; Hazlewood, Taylor M.; King, M. Caroline; Morgan, Lisa; Murphy, Lauren E.; Purkis, Yenn; Rankowski, Brigid; Rutledge, Sarah M.; Welch, Savannah P.; Wittig, Karl",AUTISM,NA,RETAIN,NA,NO,NM: This is a systematic review ; AW: contain meta-analysis,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NM,TEH,10.1038/s41562-020-00936-2,#NAME?,A general dimension of genetic sharing across diverse cognitive traits inferred from molecular data,"de la Fuente, Javier; Davies, Gail; Grotzinger, Andrew D.; Tucker-Drob, Elliot M.; Deary, Ian J.",NATURE HUMAN BEHAVIOUR,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NM,TEH,10.1177/1948550619893956,#NAME?,When the Dark Shines: The Role of Dark Personality Traits in Leadership Role Occupancy and Hiring Decisions in a Collectivistic Culture,"Nuzulia, Siti; Why, Felix Yong Peng",SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NM,TEH,10.1037/ocp0000160,#NAME?,What Free Time? A Daily Study of Work Recovery and Well-Being Among Working Students,"Taylor, William Demar; Snyder, Lori Anderson; Lin, Li",JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,NA,RETAIN,NA,NO,I am only able to access through Ovid. I tried to access the journal's APA page but no luck (best I could get was a download link to a pdf),RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NM,TEH,10.1037/pspi0000215,#NAME?,The Social Costs of Forgiving Following Multiple-Victim Transgressions,"Raj, Medha; Wiltermuth, Scott S.; Adams, Gabrielle S.",JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,NA,RETAIN,NA,NO,I am only able to access through Ovid. I tried to access the journal's APA page but no luck (best I could get was a download link to a pdf),RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NM,TEH,10.1177/0022146520967660,#NAME?,Neighborhood Disorder and Distress in Real Time: Evidence from a Smartphone-Based Study of Older Adults,"York Cornwell, Erin; Goldman, Alyssa W.",JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NM,TEH,10.1111/bjso.12376,#NAME?,Three strategies for doing narrative resistance: Navigating between master narratives,"Hochman, Yael; Spector-Mersel, Gabriela",BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,NA,RETAIN,NA,NO,I am only able to access through EBSCOhost. For some reason Wiley not letting me in,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NM,TEH,10.1002/da.22999,#NAME?,Dose-response patterns in low and high intensity cognitive behavioral therapy for common mental health problems,"Robinson, Louisa; Kellett, Stephen; Delgadillo, Jaime",DEPRESSION AND ANXIETY,NA,RETAIN,NA,NO,I am only able to access through EBSCOhost. For some reason Wiley not letting me in,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NM,TEH,10.1002/erv.2761,#NAME?,Treatment for eating disorders in apost-COVID world: The case of TRIANGLE,"Cardi, Valentina; Willmott, Daniel; Ambwani, Suman; Rowlands, Katie; Clark Bryan, Danielle; Treasure, Janet",EUROPEAN EATING DISORDERS REVIEW,NA,EXCLUDE,NOT EMPIRICAL,NA,Excluded both because an editorial and because no access,EXCLUDE,NOT EMPIRICAL,NA,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NM,TEH,10.1111/cdev.13412,#NAME?,Transformations and Transfer: Preschool Children Understand Abstract Relations and Reason Analogically in a Causal Task,"Goddu, Mariel K.; Lombrozo, Tania; Gopnik, Alison",CHILD DEVELOPMENT,NA,RETAIN,NA,NO,I am only able to access through EBSCOhost. For some reason Wiley not letting me in,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NM,TEH,10.1016/j.dcn.2020.100769,#NAME?,"Neurocognitive reorganization between crystallized intelligence, fluid intelligence and white matter microstructure in two age-heterogeneous developmental cohorts (vol 41, 100743, 2020)","Simpson-Kent, Ivan L.; Fuhrmann, Delia; Bathelt, Joe; Achterberg, Jascha; Borgeest, Gesa Sophia; Kievit, Rogier A.",DEVELOPMENTAL COGNITIVE NEUROSCIENCE,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NM,TEH,10.1080/20008198.2019.1710400,#NAME?,Complex post-traumatic stress symptoms in female adolescents: the role of emotion dysregulation in impairment and trauma exposure after an acute sexual assault,"Villalta, Laia; Khadr, Sophie; Chua, Kia-Chong; Kramer, Tami; Clarke, Venetia; Viner, Russell M.; Stringaris, Argyris; Smith, Patrick",EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NM,TEH,10.1037/emo0000668,#NAME?,Emotional States Affect the Retention of Biological Motion in Working Memory,"Guo, Yang; Li, Wenmin; Lu, Xiqian; Xu, Xiaodong; Qiu, Fangfang; Shen, Mowei; Gao, Zaifeng",EMOTION,NA,RETAIN,NA,NO,I am only able to access through Ovid. I tried to access the journal's APA page but no luck,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NM,TEH,10.1016/j.chb.2020.106349,#NAME?,A meta-analysis of teaching and learning computer programming: Effective instructional approaches and conditions,"Scherer, Ronny; Siddiq, Fazilat; Viveros, Barbara Sanchez",COMPUTERS IN HUMAN BEHAVIOR,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NM,SS,10.1017/S095457942000142X,#NAME?,Prenatal maternal psychological distress and fetal developmental trajectories: associations with infant temperament,"Howland, Mariann A.; Sandman, Curt A.; Davis, Elysia Poggi; Glynn, Laura M.",DEVELOPMENT AND PSYCHOPATHOLOGY,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NM,SS,10.3758/s13428-019-01220-6,#NAME?,Factors associated with sensitive regression weights: A fungible parameter approach,"Agler, Robert A.; De Boeck, Paul",BEHAVIOR RESEARCH METHODS,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NM,SS,10.1002/eat.23318,#NAME?,The impact of the COVID-19 pandemic on eating disorder risk and symptoms,"Rodgers, Rachel F.; Lombardo, Caterina; Cerolini, Silvia; Franko, Debra L.; Omori, Mika; Fuller-Tyszkiewicz, Matthew; Linardon, Jake; Courtet, Philippe; Guillaume, Sebastien",INTERNATIONAL JOURNAL OF EATING DISORDERS,NA,EXCLUDE,NOT EMPIRICAL,NA,This seems to be a review rather than an empirical study,EXCLUDE,NOT EMPIRICAL,NA,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NM,SS,10.1177/0959353520912962,#NAME?,"Decolonizing psychology: Globalization, social justice, and Indian youth identities","Liebert, Rachel Jane",FEMINISM & PSYCHOLOGY,NA,EXCLUDE,NOT EMPIRICAL,NA,This is a book review,EXCLUDE,NOT EMPIRICAL,NA,This is a book review,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NM,SS,10.1080/20008198.2019.1704554,#NAME?,The impact of trauma exposure and moral injury on UK military veterans: a qualitative study,"Williamson, Victoria; Murphy, Dominic; Stevelink, Sharon A. M.; Allen, Shannon; Jones, Edgar; Greenberg, Neil",EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NM,SS,10.1016/j.dcn.2020.100848,#NAME?,"Childhood violence exposure and social deprivation predict adolescent amygdala-orbitofrontal cortex white matter connectivity (Retraction of Vol 45, art no 100822, 2020)","Goetschius, Leigh G.; Hein, Tyler C.; Mitchell, Colter; Lopez-Duran, Nestor L.; McLoyd, Vonnie C.; Brooks-Gunn, Jeanne; McLanahan, Sara S.; Hyde, Luke W.; Monk, Christopher S.",DEVELOPMENTAL COGNITIVE NEUROSCIENCE,NA,EXCLUDE,NOT EMPIRICAL,NA,This is a withdrawal notice,EXCLUDE,OTHER,NA,This article has been withdrawn,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NM,SS,10.1080/20008198.2020.1844955,#NAME?,To share or not to share-10 years of European Journal of Psychotraumatology,"Olff, Miranda",EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,NA,EXCLUDE,NOT EMPIRICAL,NA,This is an editorial,RETAIN,NA,NO,"This is a metascience(ish) editorial. It presents data so it might be empirical enough to count, but I'm not sure",prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NM,SS,10.1111/apps.12180,#NAME?,Does Reducing Male Domination in Teams Attenuate or Intensify the Harmful Effects of Perceived Discrimination on Women's Job Satisfaction? A Test of Competing Hypotheses,"Sawyer, Katina; Young, Stephen F.; Thoroughgood, Christian; Dominguez, Kizzy M.",APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,NA,RETAIN,NA,NO,I am only able to access through EBSCOhost. For some reason Wiley not letting me in,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NM,SS,10.1111/jcpp.13146,#NAME?,Sustained effects on attachment security in middle childhood: results from a randomized clinical trial of the Attachment and Biobehavioral Catch-up (ABC) intervention,"Zajac, Lindsay; Raby, K. Lee; Dozier, Mary",JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,NA,RETAIN,NA,NO,I am only able to access through EBSCOhost. For some reason Wiley not letting me in,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NM,SS,10.1177/1362361320913671,#NAME?,Determinants of an autism spectrum disorder diagnosis in childhood and adolescence: Evidence from the UK Millennium Cohort Study,"Hosozawa, Mariko; Sacker, Amanda; Mandy, William; Midouhas, Emily; Flouri, Eirini; Cable, Noriko",AUTISM,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NM,SS,10.1016/j.jadohealth.2020.05.046,#NAME?,COVID-19 Takes Adolescent Suicide Prevention to Less Charted Territory,"Szlyk, Hannah S.; Berk, Michele; Peralta, Ana Ortin; Miranda, Regina",JOURNAL OF ADOLESCENT HEALTH,NA,EXCLUDE,NOT EMPIRICAL,NA,This is a commentary,EXCLUDE,NOT EMPIRICAL,NA,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NM,SS,10.1016/j.evolhumbehav.2020.05.002,#NAME?,Moral elevation: Indications of functional integration with welfare trade-off calibration and estimation mechanisms,"Monroe, Amy",EVOLUTION AND HUMAN BEHAVIOR,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,AW,SS,10.1016/j.chb.2019.03.030,#NAME?,Negotiation as an interpersonal skill: Generalizability of negotiation outcomes and tactics across contexts at the individual and collective levels,"Martin-Raugh, Michelle P.; Kyllonen, Patrick C.; Hao, Jiangang; Bacall, Adam; Becker, Dovid; Kurzum, Christopher; Yang, Zhitong; Yan, Fred; Barnwell, Patrick",COMPUTERS IN HUMAN BEHAVIOR,NA,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,AW,SS,10.1016/j.jaac.2020.07.011,#NAME?,A BRIEF HISTORY AND CASE PRESENTATION OF INTERRACIAL ADOPTION,"Drabble, Stephanie",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,NA,EXCLUDE,NOT EMPIRICAL,NA,"Full access only possible through ScienceDirect (not journal's own site). However, appears non-empirical so excluded anyway.",EXCLUDE,OTHER,NA,This is a conference presentation abstract,prominent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
